# event_dt: 2020-01-02T120000Z
# instr_id: i4
# tag_abbr:
#     - e2
#     - b2
#     - day
Rel. Time;Date;Time;Altitude (gpm);Wind Direction (°);Wind Velocity (m/s);Pressure (hPa);Temperature (°C);Humidity (%);Dewpoint (°C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (°);LON (°);ALT (m);STA;SAT;HDOP (m);VDOP (m);GPS Jamming;Battery Voltage (v);Transmitter Voltage (V);FSM state;Error Flag;DIST (m);ALD (m);AZI (°);ELE (°);CR (m/s);U_ref;T_REF (°C);T_A3 (°C);T_10 (°C);V-Corr (°C);T_CH (°C);T_HY50 (°C);DP_HY50 (°C);RH_HY50 (%);RH_MAX (%);RH_HY50_OUTS;TAU_INC;TAU_DEC;RH_HY50_K_LIM;DP_HY50_K
0;19.11.19;10:55:54.0;498.89428;25.31334;6.29413;958.5;4.0889;89.60803;2.38139;;;;;;46.812733;6.943484;498.87523;5611.0;11.0;0.56;8.76268;15.3957;2783.5405;1094.15923;7.0;0.0;403.10479;402.50692;41.09542;1.12832;2.31605;46301.49398;24.06189;4.30118;;-0.21228;5.07691;7.84427;2.38045;66.88146;100.0;89.60803;0.24517;0.30313;89.60803;2.38139
1;19.11.19;10:55:55.0;502.03825;26.20368;6.81891;957.20178;3.98914;88.51513;2.09934;;;;;;46.812659;6.943445;502.01933;5611.0;11.0;0.56;8.73882;15.15946;2783.38183;1094.23797;7.0;0.0;395.09156;395.21086;41.551;1.60067;3.13636;46301.82099;24.06116;4.20167;;-0.21253;4.86403;7.96925;2.08026;64.90907;100.0;88.51513;0.24753;0.30576;88.51513;2.09934
2;19.11.19;10:55:56.0;506.16259;27.35042;7.23096;956.71628;3.59723;87.60623;1.86613;;;;;;46.812586;6.943397;506.14385;5611.0;11.0;0.56;8.71496;15.07793;2783.22317;1094.31672;7.0;0.0;386.64752;386.95862;41.95755;2.24677;4.12452;46302.14801;24.05881;3.80988;;-0.21265;4.65627;8.06225;1.83603;63.31683;100.0;87.60623;0.25714;0.31638;87.60623;1.86613
3;19.11.19;10:55:57.0;511.16469;28.64368;7.53754;956.1272;3.52848;86.98879;1.70925;;;;;;46.812514;6.943344;511.14616;5611.0;11.0;0.56;8.7;15.3177;2783.0645;1094.39546;7.0;0.0;378.02068;378.85279;42.31158;3.0734;4.70579;46302.47502;24.06556;3.74126;;-0.21278;4.45118;8.14124;1.68042;62.32673;100.0;86.98879;0.25888;0.3183;86.98879;1.70925
4;19.11.19;10:55:58.0;516.54472;29.94216;7.71129;955.49377;3.65903;86.49472;1.5388;;;;;;46.812446;6.943288;516.52644;5611.0;11.0;0.56;8.7;15.55746;2782.90583;1094.47421;7.0;0.0;369.52003;371.10533;42.61704;3.98864;4.97754;46302.7;24.06077;3.87194;;-0.21291;4.61009;8.15521;1.52174;61.40264;100.0;86.49472;0.25562;0.3147;86.49472;1.5388
5;19.11.19;10:55:59.0;521.92475;31.24385;7.82943;954.86076;3.44665;86.09867;1.31735;;;;;;46.812386;6.943231;521.90671;5611.0;11.0;0.56;8.7;15.79723;2782.74716;1094.55296;7.0;0.0;361.70103;363.35787;42.82275;4.90388;5.24929;46302.62317;24.05814;3.6597;;-0.21304;4.49696;8.18961;1.37163;60.77929;100.0;86.09867;0.26101;0.32064;86.09867;1.31735
6;19.11.19;10:56:00.0;526.74967;32.66572;7.85107;954.29329;3.2938;85.61571;1.12946;;;;;;46.81233;6.943171;526.73186;5611.0;11.0;0.56;8.7;16.037;2782.5885;1094.6317;7.0;0.0;354.06644;355.99792;42.96223;5.77346;5.10216;46302.3111;24.06542;3.50697;;-0.21317;4.38906;8.17481;1.21933;60.44224;100.0;85.61571;0.2649;0.32492;85.61571;1.12946
7;19.11.19;10:56:01.0;531.05807;34.15607;7.81772;953.7867;3.29101;85.10404;1.02617;;;;;;46.812276;6.943111;531.04048;5611.0;11.0;0.56;8.7;16.27677;2782.42983;1094.71045;7.0;0.0;346.57186;348.99854;43.09201;6.60056;4.56526;46302.43967;24.07308;3.50429;;-0.21328;4.30333;8.16002;1.00035;59.87854;100.0;85.10404;0.26497;0.325;85.10404;1.02617
8;19.11.19;10:56:02.0;535.89449;35.81205;7.73232;953.21818;3.1838;84.67131;0.84045;;;;;;46.812223;6.943055;535.87714;5611.0;11.0;0.56;8.7;16.51654;2782.27116;1094.7892;7.0;0.0;339.38902;342.31731;43.24078;7.53836;4.82886;46302.23355;24.07101;3.3972;;-0.2134;4.23567;8.08208;0.75946;59.52012;100.0;84.67131;0.2678;0.32809;84.67131;0.84045
9;19.11.19;10:56:03.0;541.76969;37.63385;7.62046;952.52755;2.91744;84.40089;0.62385;;;;;;46.812171;6.942993;541.75265;5611.0;11.0;0.56;8.7;16.75631;2782.1125;1094.86794;7.0;0.0;331.87508;335.76909;43.3435;8.70046;5.8755;46301.70387;24.07078;3.13099;;-0.21354;4.10271;7.71264;0.56769;59.97696;100.0;84.40089;0.27495;0.33589;84.40089;0.62385
10;19.11.19;10:56:04.0;548.23384;39.60206;7.50857;951.76792;2.97439;84.31634;0.54057;;;;;;46.812117;6.94293;548.21716;5611.0;11.0;0.56;8.7;16.99608;2782.05194;1094.94669;7.0;0.0;324.26161;329.27141;43.44137;10.01435;6.45433;46301.13425;24.06754;3.1881;;-0.21371;3.93405;7.13578;0.40781;60.8502;100.0;84.31634;0.27339;0.33419;84.31634;0.54057
11;19.11.19;10:56:05.0;554.79525;41.77987;7.40652;950.99736;2.8576;84.40524;0.52088;;;;;;46.812061;6.942868;554.77894;5611.0;11.0;0.56;8.7;17.23585;2782.23044;1095.05151;7.0;0.0;316.49511;322.89936;43.60615;11.39966;6.56178;46300.56043;24.07135;3.07147;;-0.21387;3.99022;6.55892;0.36868;62.30116;100.0;84.40524;0.27657;0.33766;84.40524;0.52088
12;19.11.19;10:56:06.0;561.24615;44.04546;7.31006;950.24026;2.84253;84.66208;0.50861;;;;;;46.812005;6.942807;561.23021;5611.0;11.0;0.56;8.7;17.47562;2782.40894;1095.21097;7.0;0.0;308.77687;316.68623;43.76821;12.8202;6.45046;46299.97839;24.07092;3.05656;;-0.21403;3.93632;6.1426;0.46607;64.33195;100.0;84.66208;0.27699;0.33811;84.66208;0.50861
13;19.11.19;10:56:07.0;567.7193;46.46649;7.22809;949.48102;2.78791;84.99377;0.51459;;;;;;46.811951;6.942745;567.70376;5611.0;11.0;0.56;8.7;17.71539;2782.58743;1095.37044;7.0;0.0;301.17512;310.85021;43.91128;14.29342;6.47586;46299.57892;24.06994;3.0021;;-0.21419;3.85891;5.89433;0.56808;66.27396;100.0;84.99377;0.2785;0.33975;84.99377;0.51459
14;19.11.19;10:56:08.0;574.00328;49.11103;7.17313;948.74442;2.73529;85.31043;0.51692;;;;;;46.811903;6.942682;573.98813;5611.0;11.0;0.56;8.7;17.95516;2782.76593;1095.5299;7.0;0.0;293.97239;305.48179;43.96707;15.77122;6.2961;46299.20866;24.0699;2.94964;;-0.21435;4.13347;5.64607;0.60847;67.88264;100.0;85.31043;0.27996;0.34134;85.31043;0.51692
15;19.11.19;10:56:09.0;580.02141;51.8378;7.12967;948.03944;2.68817;85.54062;0.50919;;;;;;46.81186;6.942613;580.00666;5611.0;11.0;0.56;8.7;17.9355;2782.94443;1095.68936;7.0;0.0;286.89663;300.42517;43.88134;17.25795;6.02361;46298.83839;24.07104;2.90267;;-0.2145;3.95719;5.39798;0.59927;69.18284;100.0;85.54062;0.28128;0.34277;85.54062;0.50919
16;19.11.19;10:56:10.0;586.03003;54.65705;7.12843;947.3361;2.69149;85.65915;0.53373;;;;;;46.811819;6.942537;586.01567;5611.0;11.0;0.56;8.69038;17.85617;2783.12292;1095.84883;7.0;0.0;279.62494;295.43133;43.65577;18.7845;6.01375;46298.46813;24.07086;2.90614;;-0.21465;3.88359;5.19591;0.58591;70.30081;100.0;85.65915;0.28119;0.34267;85.65915;0.53373
17;19.11.19;10:56:11.0;591.42681;57.52227;7.14819;946.70479;2.69105;85.68734;0.55431;;;;;;46.811788;6.942457;591.41282;5611.0;11.0;0.56;8.6798;17.77683;2783.30142;1096.00829;7.0;0.0;272.88659;290.79454;43.21696;20.20691;5.40559;46298.6708;24.06836;2.90583;;-0.21479;3.80999;5.04284;0.55521;71.22426;100.0;85.68734;0.2812;0.34268;85.68734;0.55431
18;19.11.19;10:56:12.0;596.49034;60.25733;7.20576;946.1128;2.68952;85.67875;0.53614;;;;;;46.811762;6.942375;596.4767;5611.0;11.0;0.56;8.66922;17.6975;2783.47992;1096.16776;7.0;0.0;266.52074;286.67061;42.68262;21.595;5.06388;46298.60098;24.06871;2.90444;;-0.21492;3.73639;4.78892;0.51537;72.02309;100.0;85.67875;0.28125;0.34273;85.67875;0.53614
19;19.11.19;10:56:13.0;602.00476;62.72617;7.31224;945.46853;2.74673;85.69233;0.53947;;;;;;46.811738;6.942293;601.99152;5611.0;11.0;0.56;8.65863;17.61817;2783.65842;1096.32722;7.0;0.0;260.33912;283.01299;42.08059;23.09718;5.50794;46298.6674;24.07093;2.96178;;-0.21505;3.6444;4.48847;0.49449;72.83693;100.0;85.69233;0.27964;0.34099;85.69233;0.53947
20;19.11.19;10:56:14.0;607.76429;64.82715;7.46007;944.79603;2.61541;85.74743;0.49615;;;;;;46.811714;6.942207;607.75148;5611.0;11.0;0.56;8.64805;17.53883;2783.83691;1096.48668;7.0;0.0;253.96282;279.54158;41.35628;24.69415;5.75996;46298.39116;24.0764;2.8306;;-0.21519;3.59981;4.47364;0.48498;73.65076;100.0;85.74743;0.28333;0.34499;85.74743;0.49615
21;19.11.19;10:56:15.0;613.77606;66.52021;7.64268;944.09446;2.60558;85.83891;0.47725;;;;;;46.811689;6.942116;613.7637;5611.0;11.0;0.56;8.63747;17.4595;2784.01541;1096.64615;7.0;0.0;247.39988;276.23154;40.58075;26.39409;6.01162;46298.294;24.07856;2.82092;;-0.21534;3.54923;4.34407;0.45613;74.28532;100.0;85.83891;0.28361;0.34529;85.83891;0.47725
22;19.11.19;10:56:16.0;619.54906;67.19609;7.86864;943.42112;2.5697;85.98802;0.44994;;;;;;46.811668;6.942024;619.53715;5669.1854;11.0;0.56582;8.62689;17.38017;2784.19391;1096.80561;7.0;0.0;241.05676;273.28532;39.66586;28.0808;5.98391;46298.46795;24.07138;2.78518;;-0.21549;3.50625;4.19849;0.39857;74.63214;100.0;85.98802;0.28463;0.3464;85.98802;0.44994
23;19.11.19;10:56:17.0;624.98182;67.34127;8.11343;942.78784;2.4764;86.13224;0.41058;;;;;;46.811648;6.94193;624.97034;5767.80473;11.0;0.57568;8.61631;17.30083;2784.3724;1096.96508;7.0;0.0;234.8229;270.45934;38.68172;29.71527;5.6128;46298.36239;24.07403;2.69202;;-0.21562;3.45022;4.05291;0.40648;75.31445;100.0;86.13224;0.2873;0.34928;86.13224;0.41058
24;19.11.19;10:56:18.0;630.35628;67.48646;8.35823;942.16174;2.51542;86.18402;0.43409;;;;;;46.81163;6.941835;630.34522;5700.15187;11.0;0.56892;8.60572;17.2215;2784.5509;1097.0;7.0;0.0;228.79707;267.8944;37.59815;31.3496;5.37575;46298.3;24.07304;2.73118;;-0.21576;3.28179;3.90733;0.52106;76.62051;100.0;86.18402;0.28618;0.34807;86.18402;0.43409
25;19.11.19;10:56:19.0;635.56494;67.63165;8.60302;941.55531;2.49785;86.05366;0.4031;;;;;;46.811613;6.941732;635.55432;5833.99084;11.0;0.5823;8.59514;17.14217;2784.7294;1097.0;7.0;0.6499;222.59004;265.52252;36.29561;33.00801;5.26411;46298.3;24.07664;2.71374;;-0.21589;3.21882;3.76175;0.58366;77.63927;100.0;86.05366;0.28669;0.34862;86.05366;0.4031
26;19.11.19;10:56:20.0;640.66295;67.77684;8.84782;940.96216;2.46578;85.67379;0.32057;;;;;;46.811597;6.941623;640.65275;5954.38677;11.0;0.59434;8.58456;17.06283;2784.9079;1097.0;7.0;325.60032;216.28083;263.09906;34.81176;34.69054;5.15217;46298.39006;24.07711;2.6818;;-0.21602;3.15585;3.64235;0.52143;77.83866;100.0;85.67379;0.28761;0.34961;85.67379;0.32057
27;19.11.19;10:56:21.0;645.26365;67.92203;9.09261;940.42723;2.57084;85.05411;0.29431;;;;;;46.81158;6.941509;645.25385;5854.18637;11.0;0.58432;8.57398;17.0;2785.08639;1097.0;7.0;650.55073;209.85151;260.43711;33.15476;36.3283;4.60796;46298.56765;24.07112;2.78697;;-0.21613;3.09288;3.60556;0.39983;77.47933;100.0;85.05411;0.28461;0.34637;85.05411;0.29431
28;19.11.19;10:56:22.0;649.52286;68.06721;9.33741;939.93239;2.68509;84.27624;0.26189;;;;;;46.811557;6.941388;649.51343;5811.0;11.0;0.58;8.5634;17.0;2785.26489;1097.0;7.0;975.50115;202.84373;257.46612;31.37358;38.01061;4.25958;46298.75188;24.06394;2.90133;;-0.21624;3.30993;3.60406;0.26755;76.93913;100.0;84.27624;0.28137;0.34286;84.27624;0.26189
29;19.11.19;10:56:23.0;654.13635;68.2124;9.5822;939.39676;2.65634;83.46542;0.15503;;;;;;46.81153;6.941266;654.12732;5773.76417;11.0;0.57628;8.55281;17.0;2785.44339;1097.0;7.0;1300.45157;195.58306;254.7054;29.49419;39.83709;4.60867;46298.85221;24.07017;2.8727;;-0.21636;3.2532;3.60256;0.03792;75.83676;100.0;83.46542;0.28219;0.34375;83.46542;0.15503
30;19.11.19;10:56:24.0;659.20252;68.35759;9.827;938.80884;2.61396;82.7896;0.04108;;;;;;46.811502;6.941137;659.19394;5706.67259;11.0;0.56957;8.54223;17.0;2785.62188;1097.0;7.0;1625.40198;188.16853;252.50265;27.30905;41.8033;4.95157;46298.60839;24.0765;2.83044;;-0.21648;3.49616;3.60107;-0.16194;74.89534;100.0;82.7896;0.28339;0.34505;82.7896;0.04108
31;19.11.19;10:56:25.0;664.49465;68.0992;10.02614;938.19501;2.57159;82.25727;-0.07287;;;;;;46.811471;6.941003;664.48656;5639.58101;11.0;0.56286;8.53165;17.0;2785.80038;1097.0;7.0;1950.3524;180.64442;250.57674;24.9611;43.85123;5.18581;46298.36458;24.08562;2.78818;;-0.2166;3.44852;3.5967;-0.23693;74.6525;100.0;82.25727;0.2846;0.34636;82.25727;-0.07287
32;19.11.19;10:56:26.0;669.42913;67.58708;10.19658;937.62295;2.52921;81.82276;-0.18682;;;;;;46.811438;6.940873;669.4215;5611.0;11.0;0.56;8.52107;17.0;2785.97888;1097.0;7.0;2275.30282;173.18703;248.69623;22.54318;45.85511;4.93987;46298.2;24.09309;2.74593;;-0.21672;3.39205;3.57265;-0.31245;74.38459;100.0;81.82276;0.28581;0.34766;81.82276;-0.18682
33;19.11.19;10:56:27.0;673.8631;67.07422;10.33909;937.10908;2.48683;81.60711;-0.30077;;;;;;46.811401;6.940745;673.85588;5611.0;11.0;0.56;8.51049;17.0;2786.15737;1097.0;7.0;2600.25323;165.86572;246.94134;19.97488;47.8113;4.5346;46298.07615;24.0963;2.70367;;-0.21684;3.58771;3.54517;-0.38074;74.12012;100.0;81.60711;0.28701;0.34897;81.60711;-0.30077
34;19.11.19;10:56:28.0;678.11907;66.58597;10.42732;936.61603;2.43711;81.5021;-0.39796;;;;;;46.811361;6.940616;678.11227;5611.0;11.0;0.56;8.4999;17.0;2786.33587;1097.0;7.0;2925.20365;158.45303;245.26412;17.17417;49.75795;4.34495;46297.84734;24.0995;2.65407;;-0.21696;3.68165;3.50245;-0.43025;73.96022;100.0;81.5021;0.28844;0.3505;81.5021;-0.39796
35;19.11.19;10:56:29.0;682.57688;66.15573;10.45542;936.09984;2.42377;81.43504;-0.44752;;;;;;46.811316;6.940484;682.57051;5611.0;11.0;0.56;8.48932;17.0;2786.51437;1097.0;7.0;3250.15407;151.00174;243.98401;14.08802;51.75073;4.45546;46297.91659;24.10271;2.64085;;-0.21708;3.50422;3.4817;-0.45423;73.94087;100.0;81.43504;0.28882;0.35092;81.43504;-0.44752
36;19.11.19;10:56:30.0;687.36507;65.783;10.43502;935.54566;2.41562;81.35144;-0.48088;;;;;;46.811271;6.940352;687.35917;5583.93738;11.27336;0.55727;8.47874;17.0;2786.69287;1096.97218;7.0;3575.10448;143.87567;243.4812;10.68623;53.76442;4.78654;46298.06567;24.10574;2.63282;;-0.2172;3.44022;3.46096;-0.45667;74.04104;100.0;81.35144;0.28906;0.35118;81.35144;-0.48088
37;19.11.19;10:56:31.0;692.68227;65.46985;10.36564;934.93058;2.37035;81.26784;-0.51334;;;;;;46.811222;6.940217;692.67691;5534.7326;11.77038;0.5523;8.46816;17.0;2786.87136;1096.8141;7.0;3900.0549;137.21195;243.96394;6.88198;55.76827;5.31774;46298.23402;24.10101;2.58767;;-0.21732;3.42545;3.42278;-0.45912;74.1412;100.0;81.26784;0.29038;0.35259;81.26784;-0.51334
38;19.11.19;10:56:32.0;697.7729;65.23055;10.23174;934.34202;2.33751;81.10038;-0.55641;;;;;;46.811172;6.940088;697.76805;5512.0;12.0;0.55;8.45758;17.0;2787.04986;1096.65602;7.0;4225.00532;130.72824;244.69871;2.90395;57.68184;5.09319;46298.54669;24.09503;2.55495;;-0.21744;3.41068;3.37683;-0.45279;74.28403;100.0;81.10038;0.29134;0.35363;81.10038;-0.55641
39;19.11.19;10:56:33.0;702.33814;65.02313;10.06945;933.81448;2.34313;80.75663;-0.63004;;;;;;46.811123;6.939956;702.33376;5512.0;12.0;0.55;8.44699;17.0;2787.22836;1096.49794;7.0;4549.95573;125.04287;245.61681;235.71901;59.36969;4.56571;46298.72668;24.08813;2.56071;;-0.21757;3.26849;3.42679;-0.50561;74.07842;100.0;80.75663;0.29117;0.35345;80.75663;-0.63004
40;19.11.19;10:56:34.0;707.01837;64.84922;9.8716;933.27397;2.34876;80.29273;-0.70367;;;;;;46.811079;6.939823;707.01448;5512.0;12.0;0.55;8.43641;17.0;2787.40685;1096.33987;7.0;4874.90615;120.78545;247.69246;353.55502;60.71263;4.63378;46298.83009;24.08418;2.56646;;-0.2177;3.27952;3.39256;-0.6593;73.29528;100.0;80.29273;0.29101;0.35327;80.29273;-0.70367
41;19.11.19;10:56:35.0;711.76346;64.70516;9.63522;932.72628;2.35439;79.78333;-0.7773;;;;;;46.811035;6.939695;711.76008;5512.0;12.0;0.55;8.42583;17.0;2787.58535;1096.18179;7.0;5199.85656;117.54451;250.28645;348.58888;61.89579;4.70974;46298.9;24.0818;2.57222;;-0.21783;3.02883;3.36846;-0.81907;72.476;100.0;79.78333;0.29084;0.3531;79.78333;-0.7773
42;19.11.19;10:56:36.0;716.98655;64.56446;9.38192;932.12376;2.35497;79.32314;-0.85178;;;;;;46.810995;6.93957;716.98374;5512.0;12.0;0.55;8.41525;17.0;2787.76385;1096.02371;7.0;5524.80698;115.53669;254.12804;343.50062;62.7723;4.90358;46298.9;24.07963;2.57293;;-0.21796;3.19095;3.36014;-0.93878;71.87604;100.0;79.32314;0.29082;0.35308;79.32314;-0.85178
43;19.11.19;10:56:37.0;722.63695;64.39414;9.12161;931.47236;2.3425;78.9312;-0.92845;;;;;;46.81096;6.939447;722.63477;5512.0;12.0;0.55;8.40467;17.0;2787.94235;1095.86563;7.0;5849.7574;114.81404;259.08492;338.46466;63.37468;5.2028;46298.9;24.07747;2.56059;;-0.21809;3.35308;3.35182;-1.00294;71.58018;100.0;78.9312;0.29119;0.35347;78.9312;-0.92845
44;19.11.19;10:56:38.0;728.28735;64.21039;8.8602;930.82141;2.33004;78.60891;-1.00511;;;;;;46.810928;6.93933;728.28579;5512.0;12.0;0.55;8.39408;17.0;2788.12084;1095.70756;7.0;6174.70781;115.23783;264.04179;333.88551;63.97706;5.50201;46298.9;24.0753;2.54826;;-0.21822;3.42351;3.35008;-1.07459;71.2409;100.0;78.60891;0.29155;0.35386;78.60891;-1.00511
45;19.11.19;10:56:39.0;733.8647;63.96746;8.61761;930.17925;2.26082;78.43888;-1.08394;;;;;;46.810898;6.939225;733.86376;5400.7574;12.0;0.53888;8.3835;17.0;2788.29934;1095.54948;7.0;6499.65823;116.1073;269.21098;329.56217;64.43857;5.57797;46298.90033;24.07022;2.47917;;-0.21835;3.25019;3.30766;-1.13603;70.95976;100.0;78.43888;0.29359;0.35606;78.43888;-1.08394
46;19.11.19;10:56:40.0;739.11911;63.68589;8.38729;929.57453;2.22169;78.36167;-1.13324;;;;;;46.810873;6.939131;739.11878;5312.0;12.0;0.53;8.37292;17.0;2788.47784;1095.3914;7.0;6824.60865;117.46721;274.51341;325.73372;64.66707;5.38018;46298.96751;24.07046;2.44017;;-0.21847;3.05591;3.31355;-1.15834;70.9;100.0;78.36167;0.29475;0.3573;78.36167;-1.13324
47;19.11.19;10:56:41.0;744.12604;63.21155;8.26219;928.99858;2.19628;78.35426;-1.17446;;;;;;46.810851;6.93905;744.12629;5312.0;12.0;0.53;8.36234;17.0;2788.65633;1095.23332;7.0;7149.55906;119.1153;279.73936;322.64062;64.80343;5.13074;46298.67867;24.07116;2.41488;;-0.2186;2.90327;3.36723;-1.18313;70.83725;100.0;78.35426;0.29551;0.35812;78.35426;-1.17446
48;19.11.19;10:56:42.0;749.41024;62.62104;8.20048;928.39107;2.16088;78.38226;-1.195;;;;;;46.810829;6.93898;749.41111;5312.0;12.0;0.53;8.35176;17.0;2788.83483;1095.07525;7.0;7474.50948;120.5685;285.14592;319.92042;64.99026;5.28482;46298.57092;24.06995;2.37961;;-0.21872;2.85272;3.35621;-1.22772;70.68458;100.0;78.38226;0.29657;0.35926;78.38226;-1.195
49;19.11.19;10:56:43.0;754.35447;62.03053;8.13878;927.82291;2.12549;78.42716;-1.21555;;;;;;46.810806;6.938918;754.35593;5312.0;12.0;0.53;8.34117;17.0;2789.01333;1095.0;7.0;7799.4599;121.66292;290.12241;317.42672;65.19313;5.23565;46298.46996;24.06954;2.34433;;-0.21884;2.82321;3.33446;-1.2392;70.72792;100.0;78.42716;0.29764;0.3604;78.42716;-1.21555
50;19.11.19;10:56:44.0;758.83801;61.44002;8.07708;927.30794;2.0901;78.50346;-1.2361;;;;;;46.81078;6.93886;758.84002;5312.0;12.0;0.53;8.33059;17.0;2789.19182;1095.0;7.0;8124.41031;122.69359;294.64144;315.00023;65.37094;4.73594;46298.21813;24.07791;2.30906;;-0.21896;2.80962;3.26552;-1.22443;70.93945;100.0;78.50346;0.2987;0.36154;78.50346;-1.2361
51;19.11.19;10:56:45.0;763.50569;60.84951;8.01538;926.7721;2.0848;78.61324;-1.22931;;;;;;46.810752;6.938797;763.50826;5312.0;12.0;0.53;8.32001;17.0;2789.37032;1095.0;7.0;8192.0;124.2507;299.49793;312.39578;65.48906;4.66825;46297.77604;24.08497;2.30388;;-0.21908;2.83183;3.19898;-1.24755;70.96132;100.0;78.61324;0.29886;0.36171;78.61324;-1.22931
52;19.11.19;10:56:46.0;768.34235;60.259;7.95367;926.21718;2.12081;78.77563;-1.17728;;;;;;46.810723;6.938726;768.34553;5312.0;12.0;0.53;8.30943;16.9989;2789.54882;1095.0;7.0;8192.0;126.13465;304.85361;309.67607;65.47429;4.83761;46297.7;24.09084;2.34001;;-0.2192;2.78083;3.1529;-1.26672;71.01663;100.0;78.77563;0.29777;0.36054;78.77563;-1.17728
53;19.11.19;10:56:47.0;773.16282;59.66849;7.89197;925.66445;2.07983;79.00009;-1.17921;;;;;;46.810695;6.938647;773.1666;5312.0;12.0;0.53;8.3;16.92015;2789.72732;1095.0;7.0;8192.0;128.91113;310.34899;306.95471;65.39496;4.82647;46297.74471;24.09581;2.29915;;-0.21932;2.81002;3.1393;-1.22582;71.39837;100.0;79.00009;0.29901;0.36187;79.00009;-1.17921
54;19.11.19;10:56:48.0;777.77058;59.07797;7.83027;925.13636;2.03885;79.27589;-1.18114;;;;;;46.810668;6.938564;777.77495;5423.04536;12.0;0.5411;8.3;16.8414;2789.90581;1095.0;7.0;8192.0;132.22544;315.80278;304.23236;65.24285;4.60835;46297.8;24.09671;2.25829;;-0.21944;2.74868;3.13534;-1.18477;71.78028;100.0;79.27589;0.30025;0.3632;79.27589;-1.18114
55;19.11.19;10:56:49.0;781.99614;58.48746;7.76856;924.6522;1.93603;79.57885;-1.19725;;;;;;46.81064;6.93848;782.00105;5400.30112;12.0;0.53883;8.3;16.76266;2790.08431;1095.0;7.0;8192.0;135.85902;321.1868;301.63815;64.96652;4.31793;46297.8;24.10092;2.15559;;-0.21956;2.71182;3.13139;-1.16258;72.05992;100.0;79.57885;0.3034;0.36656;79.57885;-1.19725
56;19.11.19;10:56:50.0;786.0517;57.89695;7.70686;924.18769;1.89533;79.89554;-1.19804;;;;;;46.810614;6.938396;786.05714;5423.63708;12.0;0.54116;8.3;16.68391;2790.26281;1095.0;7.0;8192.0;139.86687;326.5422;299.22844;64.6381;4.14089;46297.8;24.10558;2.115;;-0.21967;2.7025;3.08046;-1.15915;72.23692;100.0;79.89554;0.30465;0.3679;79.89554;-1.19804
57;19.11.19;10:56:51.0;790.32605;57.30644;7.64516;923.6983;1.87246;80.21703;-1.17131;;;;;;46.810585;6.938317;790.33204;5455.87392;12.0;0.54439;8.3;16.60517;2790.4413;1095.0;7.0;8192.0;143.66637;332.02306;296.95634;64.36238;4.27491;46297.88759;24.10223;2.09223;;-0.21978;2.68043;3.01681;-1.21529;72.08308;100.0;80.21703;0.30536;0.36865;80.21703;-1.17131
58;19.11.19;10:56:52.0;795.12989;56.71593;7.58346;923.1485;1.83448;80.55775;-1.14773;;;;;;46.810552;6.938242;795.13652;5354.19624;12.0;0.53422;8.3;16.52642;2790.6198;1095.0;7.0;8192.0;147.24769;337.89055;294.67526;64.17248;4.80124;46298.1;24.09966;2.05436;;-0.21989;2.54692;2.99009;-1.21676;72.2201;100.0;80.55775;0.30654;0.36991;80.55775;-1.14773
59;19.11.19;10:56:53.0;799.88311;56.09019;7.58233;922.60469;1.79074;80.92714;-1.13041;;;;;;46.810517;6.938174;799.89038;5312.0;12.0;0.53;8.3;16.44767;2790.7983;1095.0;7.0;8192.0;150.39265;343.62644;292.47915;64.01791;4.91493;46298.06213;24.09915;2.01074;;-0.22;2.5007;2.96336;-1.14653;72.74175;100.0;80.92714;0.30791;0.37137;80.92714;-1.13041
60;19.11.19;10:56:54.0;804.36968;55.46429;7.62066;922.09161;1.72814;81.30305;-1.12639;;;;;;46.810477;6.938106;804.37756;5312.0;12.0;0.53;8.3;16.36893;2790.9768;1095.0;7.0;8192.0;153.63761;349.06999;290.21558;63.86591;4.62453;46297.87804;24.09765;1.94825;;-0.22011;2.45529;2.93664;-1.09145;73.17963;100.0;81.30305;0.30988;0.37347;81.30305;-1.12639
61;19.11.19;10:56:55.0;808.88223;54.90227;7.6565;921.57577;1.6624;81.65857;-1.12516;;;;;;46.810434;6.938034;808.89073;5312.0;12.0;0.53;8.3;16.29018;2790.93081;1095.00189;7.0;8192.0;157.20833;354.67108;287.89082;63.6767;4.51281;46297.95779;24.09407;1.88263;;-0.22023;2.40988;2.90991;-1.0861;73.34122;100.0;81.65857;0.31196;0.37568;81.65857;-1.12516
62;19.11.19;10:56:56.0;813.75238;54.36949;7.69055;921.01927;1.6341;81.96492;-1.09767;;;;;;46.81039;6.937956;813.76155;5312.0;12.0;0.53;8.3;16.21143;2790.85128;1095.15938;7.0;8192.0;161.62767;360.97027;285.61907;63.40138;4.87082;46298.04509;24.09233;1.85445;;-0.22035;2.39562;2.86622;-1.08801;73.44044;100.0;81.96492;0.31287;0.37664;81.96492;-1.09767
