EDT LEVEL OUTPUT
Time  Height     P     T     U    WS  WD 
0000    491    969.5    12.05    66    1.1    88
0002    500    968.5    11.55    65    0.7    39
0004    512    967.1    11.45    67    0.7    33
0006    524    965.7    11.25    67    0.8    35
0008    534    964.5    11.25    68    0.9    37
0010    544    963.4    11.15    69    1    38
0012    555    962.1    11.05    69    1.1    39
0014    566    960.8    10.95    70    1.2    41
0016    576    959.6    10.85    70    1.3    43
0018    587    958.4    10.75    71    1.4    45
0020    598    957.2    10.65    71    1.5    47
0022    609    955.9    10.55    71    1.7    49
0024    622    954.4    10.35    72    1.8    51
0026    633    953.2    10.25    72    1.8    53
0028    639    952.4    10.25    72    1.9    55
0030    648    951.4    10.15    73    2    57
0032    658    950.3    10.05    73    2    59
0034    666    949.4    9.95    73    2.1    61
0036    674    948.5    9.85    73    2.1    63
0038    681    947.6    9.65    74    2.1    66
0040    687    947    9.55    75    2.1    68
0042    692    946.4    9.55    75    2.1    71
0044    701    945.4    9.55    75    2    74
0046    715    943.7    9.45    76    2    78
0048    733    941.8    9.45    76    2    82
0050    750    939.8    9.35    76    1.9    86
0052    765    938.2    9.25    77    1.9    90
0054    776    936.9    9.05    77    1.9    94
0056    784    936    8.95    78    2    98
0058    794    934.9    8.85    78    2    100
0060    805    933.6    8.75    79    2    103
0062    817    932.2    8.65    79    2.1    104
0064    829    930.9    8.55    79    2.1    105
0066    843    929.4    8.45    79    2.1    106
0068    856    927.9    8.55    78    2.1    106
0070    868    926.6    8.55    78    2.1    106
0072    881    925    8.55    77    2.1    105
0074    894    923.6    8.55    77    2    105
0076    906    922.3    8.45    77    2    104
0078    919    920.9    8.35    77    1.9    102
0080    931    919.5    8.25    77    1.8    101
0082    942    918.3    8.15    77    1.7    98
0084    951    917.3    8.15    76    1.6    95
0086    963    915.9    8.15    74    1.5    91
0088    977    914.4    8.15    72    1.4    85
0090    990    913    8.05    71    1.3    78
0092    1001    911.7    8.05    69    1.3    69
0094    1012    910.5    8.05    69    1.3    60
0096    1024    909.2    8.05    68    1.3    49
0098    1036    907.9    8.05    67    1.4    39
0100    1047    906.6    8.15    67    1.6    30
0102    1059    905.4    8.45    68    1.8    23
0104    1070    904.1    8.55    67    2    16
0106    1082    902.8    8.55    67    2.3    10
0108    1094    901.5    8.55    67    2.6    5
0110    1106    900.3    8.45    67    2.9    1
