Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
         921     7.1       6195.5 473.83 -17.51 84.4 -19.50 342 19.99
         922     6.8       6202.2 473.41 -17.58 84.7 -19.54 342 20.02
         923     6.8       6208.9 472.99 -17.64 84.9 -19.56 342 20.04
         924     7.0       6215.9 472.55 -17.69 85.1 -19.59 342 20.06
         925     7.4       6223.4 472.08 -17.73 85.3 -19.61 342 20.07
         926     7.8       6231.2 471.58 -17.79 85.3 -19.65 342 20.08
         927     7.8       6239.2 471.07 -17.84 85.3 -19.72 342 20.08
         928     7.5       6246.7 470.60 -17.90 85.1 -19.80 342 20.07
         929     6.9       6253.7 470.17 -17.94 84.8 -19.89 342 20.06
         930     6.4       6260.0 469.77 -17.99 84.4 -19.98 342 20.04
         931     6.1       6266.1 469.39 -18.02 84.2 -20.04 342 20.02
         932     6.1       6272.1 469.01 -18.06 84.3 -20.06 342 19.99
         933     6.3       6278.3 468.62 -18.11 84.5 -20.08 342 19.96
         934     6.7       6285.0 468.21 -18.15 84.9 -20.08 342 19.93
         935     7.2       6292.3 467.74 -18.19 85.5 -20.03 342 19.90
         936     7.6       6300.0 467.26 -18.24 86.3 -19.97 342 19.87
         937     7.8       6307.9 466.77 -18.30 87.0 -19.93 342 19.84
         938     7.6       6315.5 466.29 -18.37 87.3 -19.97 342 19.81
         939     7.1       6322.6 465.85 -18.41 86.6 -20.10 342 19.79
         940     6.5       6329.2 465.44 -18.43 85.2 -20.31 343 19.76
         941     5.9       6335.0 465.07 -18.45 83.8 -20.52 343 19.74
         942     5.6       6340.5 464.74 -18.49 83.2 -20.63 343 19.71
         943     5.4       6345.8 464.40 -18.53 83.5 -20.63 343 19.70
         944     5.6       6351.4 464.07 -18.56 84.1 -20.59 343 19.68
         945     5.8       6357.2 463.70 -18.59 84.1 -20.61 343 19.66
         946     6.0       6363.3 463.30 -18.59 83.0 -20.77 343 19.65
         947     5.8       6369.2 462.93 -18.56 80.9 -21.03 343 19.64
         948     5.6       6374.7 462.61 -18.50 78.8 -21.28 343 19.63
         949     5.8       6380.3 462.27 -18.47 77.6 -21.42 343 19.63
         950     6.3       6386.5 461.87 -18.48 77.6 -21.44 343 19.62
         951     6.8       6393.4 461.44 -18.52 77.8 -21.44 344 19.62
         952     7.3       6400.8 461.00 -18.56 77.4 -21.53 344 19.62
         953     7.5       6408.4 460.53 -18.59 76.2 -21.74 344 19.61
         954     7.4       6415.9 460.06 -18.59 74.2 -22.05 344 19.61
         955     6.9       6422.8 459.62 -18.58 72.0 -22.39 344 19.61
         956     6.4       6429.1 459.24 -18.58 70.4 -22.64 344 19.61
         957     6.1       6435.0 458.89 -18.59 69.1 -22.87 344 19.61
         958     6.3       6441.3 458.51 -18.62 67.5 -23.17 344 19.60
         959     6.8       6448.1 458.08 -18.66 65.5 -23.53 344 19.60
         960     7.2       6455.4 457.62 -18.70 63.9 -23.86 344 19.59
         961     7.2       6462.7 457.18 -18.74 62.7 -24.10 344 19.58
         962     7.0       6469.7 456.76 -18.78 62.3 -24.22 345 19.57
         963     6.5       6476.2 456.35 -18.82 62.4 -24.25 345 19.56
         964     6.0       6482.3 455.98 -18.87 62.5 -24.26 345 19.55
         965     5.6       6487.7 455.65 -18.89 62.5 -24.29 345 19.54
         966     5.4       6493.0 455.33 -18.92 62.3 -24.36 345 19.52
         967     5.6       6498.5 455.00 -18.98 62.0 -24.45 345 19.50
         968     5.9       6504.5 454.63 -19.05 61.9 -24.55 346 19.48
         969     6.1       6510.7 454.24 -19.12 61.8 -24.62 346 19.46
         970     6.1       6516.8 453.87 -19.18 61.9 -24.67 346 19.44
         971     5.9       6522.7 453.52 -19.23 61.7 -24.75 346 19.41
         972     5.6       6528.3 453.17 -19.26 61.1 -24.89 346 19.39
         973     5.4       6533.6 452.84 -19.28 60.3 -25.04 346 19.36
         974     5.3       6538.8 452.52 -19.30 59.7 -25.17 347 19.34
         975     5.4       6544.1 452.21 -19.33 59.5 -25.25 347 19.31
         976     5.9       6550.0 451.85 -19.39 59.5 -25.30 347 19.29
         977     6.4       6556.5 451.46 -19.46 59.5 -25.38 347 19.26
         978     6.8       6563.4 451.04 -19.53 58.9 -25.55 347 19.24
         979     6.9       6570.4 450.61 -19.59 58.2 -25.73 347 19.22
         980     6.6       6577.1 450.21 -19.64 57.7 -25.89 347 19.20
         981     6.2       6583.3 449.83 -19.69 57.1 -26.06 347 19.19
         982     5.7       6589.0 449.48 -19.73 55.9 -26.32 347 19.17
         983     5.4       6594.2 449.17 -19.76 54.2 -26.70 347 19.16
         984     5.3       6599.4 448.86 -19.79 52.7 -27.03 347 19.16
         985     5.5       6604.9 448.53 -19.80 51.5 -27.28 347 19.15
         986     5.9       6610.8 448.16 -19.81 50.7 -27.47 347 19.16
         987     6.3       6617.1 447.78 -19.83 50.7 -27.48 347 19.17
         988     6.7       6623.9 447.37 -19.86 51.3 -27.38 347 19.18
         989     6.9       6631.0 446.95 -19.90 51.8 -27.32 346 19.20
         990     6.9       6638.0 446.53 -19.96 52.1 -27.31 346 19.22
         991     6.7       6644.7 446.12 -20.02 52.4 -27.31 346 19.25
         992     6.4       6651.1 445.73 -20.07 52.5 -27.32 346 19.29
         993     6.0       6657.0 445.38 -20.12 52.6 -27.35 346 19.33
         994     5.9       6662.8 445.05 -20.17 52.8 -27.36 346 19.37
         995     6.1       6668.9 444.67 -20.24 53.4 -27.31 346 19.42
         996     6.2       6675.2 444.29 -20.31 54.0 -27.24 345 19.47
         997     6.3       6681.5 443.92 -20.36 54.4 -27.21 345 19.53
         998     6.3       6687.9 443.53 -20.41 54.5 -27.24 345 19.59
         999     6.2       6694.2 443.15 -20.45 54.4 -27.29 345 19.66
        1000     5.9       6700.1 442.79 -20.47 54.4 -27.32 345 19.72
        1001     5.7       6705.6 442.46 -20.50 54.4 -27.35 345 19.79
        1002     5.6       6711.2 442.14 -20.56 54.5 -27.38 344 19.87
        1003     5.8       6717.0 441.79 -20.63 54.7 -27.40 344 19.94
        1004     6.1       6723.1 441.42 -20.70 55.1 -27.41 344 20.02
        1005     6.2       6729.3 441.05 -20.77 55.4 -27.40 344 20.09
        1006     6.2       6735.6 440.68 -20.82 55.5 -27.42 344 20.17
        1007     6.0       6741.6 440.31 -20.87 55.6 -27.46 344 20.25
        1008     5.9       6747.4 439.96 -20.93 55.7 -27.48 344 20.33
        1009     5.9       6753.2 439.63 -20.98 56.0 -27.48 344 20.41
        1010     6.3       6759.4 439.27 -21.04 56.4 -27.47 343 20.50
        1011     6.8       6766.3 438.85 -21.10 56.8 -27.44 343 20.58
        1012     7.3       6773.6 438.41 -21.15 57.2 -27.41 343 20.67
        1013     7.4       6781.2 437.96 -21.22 57.6 -27.41 343 20.76
        1014     7.2       6788.5 437.53 -21.28 57.8 -27.42 343 20.85
        1015     6.8       6795.3 437.13 -21.32 57.8 -27.46 343 20.95
        1016     6.4       6801.7 436.75 -21.37 57.9 -27.49 343 21.05
        1017     6.0       6807.6 436.40 -21.42 58.1 -27.50 342 21.15
        1018     5.7       6813.2 436.07 -21.47 58.5 -27.47 342 21.26
        1019     5.7       6818.8 435.74 -21.53 59.0 -27.43 342 21.37
        1020     5.8       6824.6 435.39 -21.57 59.5 -27.39 342 21.48
        1021     6.1       6830.6 435.03 -21.62 60.0 -27.34 342 21.60
        1022     6.3       6837.0 434.66 -21.68 60.7 -27.27 342 21.72
        1023     6.7       6843.6 434.27 -21.74 61.3 -27.21 342 21.84
        1024     7.1       6850.7 433.85 -21.77 62.1 -27.10 342 21.96
        1025     7.4       6858.2 433.41 -21.78 63.0 -26.95 342 22.08
        1026     7.5       6865.8 432.96 -21.82 63.8 -26.86 341 22.20
        1027     7.3       6873.2 432.53 -21.88 64.3 -26.82 341 22.33
        1028     7.0       6880.2 432.11 -21.93 64.7 -26.81 341 22.45
        1029     6.7       6886.8 431.73 -21.99 65.2 -26.78 341 22.56
        1030     6.4       6893.2 431.36 -22.04 65.5 -26.79 341 22.68
        1031     6.3       6899.6 430.99 -22.10 65.8 -26.79 341 22.78
        1032     6.3       6905.9 430.61 -22.13 66.2 -26.75 341 22.89
        1033     6.1       6912.0 430.25 -22.16 66.8 -26.69 341 22.98
        1034     5.9       6917.8 429.92 -22.19 67.2 -26.64 341 23.07
        1035     5.9       6923.7 429.57 -22.23 67.5 -26.63 341 23.15
        1036     6.1       6929.7 429.21 -22.27 67.5 -26.66 341 23.23
        1037     6.4       6936.0 428.85 -22.31 67.4 -26.72 341 23.29
        1038     6.8       6942.8 428.46 -22.36 67.6 -26.74 341 23.35
        1039     7.2       6950.1 428.03 -22.41 68.0 -26.72 341 23.40
        1040     7.4       6957.6 427.59 -22.46 68.5 -26.70 341 23.44
        1041     7.2       6964.9 427.16 -22.52 68.7 -26.71 341 23.47
        1042     6.9       6971.8 426.76 -22.56 68.8 -26.74 341 23.50
        1043     6.4       6978.2 426.39 -22.61 68.9 -26.77 341 23.51
        1044     6.2       6984.3 426.05 -22.66 69.1 -26.78 341 23.53
        1045     6.4       6990.6 425.68 -22.71 69.6 -26.76 341 23.54
        1046     6.7       6997.3 425.29 -22.78 70.2 -26.73 341 23.54
        1047     7.0       7004.4 424.87 -22.86 71.0 -26.69 341 23.54
        1048     7.0       7011.5 424.45 -22.92 71.7 -26.64 341 23.53
        1049     6.9       7018.4 424.06 -22.99 72.3 -26.61 341 23.53
        1050     6.6       7025.1 423.68 -23.04 72.6 -26.60 341 23.53
        1051     6.5       7031.5 423.31 -23.08 72.8 -26.62 341 23.52
        1052     6.4       7037.9 422.94 -23.12 72.9 -26.65 341 23.52
        1053     6.4       7044.2 422.57 -23.18 73.3 -26.64 341 23.53
        1054     6.6       7050.8 422.19 -23.24 73.9 -26.61 341 23.54
        1055     6.8       7057.6 421.80 -23.30 74.3 -26.61 341 23.55
        1056     7.0       7064.6 421.40 -23.36 74.3 -26.67 341 23.57
        1057     7.1       7071.8 420.98 -23.42 74.2 -26.75 341 23.60
        1058     6.9       7078.8 420.57 -23.48 73.9 -26.84 341 23.63
        1059     6.5       7085.3 420.20 -23.53 73.7 -26.93 341 23.67
        1060     6.2       7091.5 419.86 -23.58 73.5 -27.00 341 23.72
        1061     6.0       7097.5 419.51 -23.62 73.4 -27.05 341 23.77
        1062     6.0       7103.4 419.16 -23.67 73.5 -27.09 341 23.84
        1063     6.0       7109.4 418.81 -23.73 73.6 -27.13 341 23.91
        1064     6.1       7115.5 418.47 -23.78 73.7 -27.18 341 23.99
        1065     6.2       7121.7 418.12 -23.83 73.5 -27.25 341 24.08
        1066     6.3       7128.1 417.75 -23.89 73.3 -27.33 341 24.18
        1067     6.3       7134.5 417.37 -23.96 73.3 -27.40 341 24.28
        1068     6.0       7140.6 417.02 -24.03 73.5 -27.43 341 24.38
        1069     5.8       7146.3 416.71 -24.09 73.7 -27.46 341 24.49
        1070     5.8       7152.0 416.39 -24.15 74.0 -27.48 342 24.61
        1071     6.2       7158.1 416.04 -24.22 74.4 -27.49 342 24.72
        1072     6.7       7164.9 415.65 -24.28 74.7 -27.50 342 24.84
        1073     7.2       7172.2 415.22 -24.34 75.0 -27.53 342 24.96
        1074     7.4       7179.7 414.80 -24.39 75.0 -27.57 342 25.08
        1075     7.5       7187.2 414.38 -24.43 74.8 -27.63 342 25.20
        1076     7.3       7194.7 413.95 -24.46 74.7 -27.68 343 25.32
        1077     7.0       7201.7 413.55 -24.50 74.7 -27.72 343 25.43
        1078     6.5       7208.2 413.18 -24.55 74.8 -27.75 343 25.55
        1079     6.1       7214.2 412.84 -24.60 75.0 -27.77 343 25.66
        1080     6.0       7220.0 412.51 -24.65 75.3 -27.78 344 25.76
        1081     6.2       7226.1 412.18 -24.69 75.6 -27.77 344 25.87
        1082     6.6       7232.7 411.80 -24.72 75.9 -27.76 344 25.96
        1083     7.1       7239.9 411.39 -24.75 76.0 -27.78 344 26.06
        1084     7.5       7247.5 410.96 -24.78 75.5 -27.88 345 26.14
        1085     7.5       7255.1 410.53 -24.77 74.1 -28.08 345 26.23
        1086     7.2       7262.4 410.12 -24.76 71.8 -28.40 345 26.31
        1087     6.6       7269.1 409.73 -24.74 69.3 -28.76 345 26.38
        1088     6.0       7274.9 409.41 -24.73 67.1 -29.10 346 26.44
        1089     5.6       7280.3 409.11 -24.73 65.5 -29.35 346 26.50
        1090     5.7       7285.8 408.80 -24.72 64.4 -29.53 346 26.56
        1091     6.1       7291.9 408.46 -24.73 63.6 -29.68 346 26.60
        1092     6.6       7298.6 408.09 -24.76 62.9 -29.82 347 26.65
        1093     7.1       7305.7 407.69 -24.80 62.1 -30.00 347 26.69
        1094     7.2       7313.1 407.27 -24.83 60.9 -30.23 347 26.72
        1095     6.9       7320.2 406.86 -24.87 59.7 -30.48 347 26.75
        1096     6.4       7326.5 406.51 -24.91 58.6 -30.72 347 26.77
        1097     5.9       7332.3 406.20 -24.95 57.7 -30.91 347 26.79
        1098     5.8       7337.9 405.89 -24.96 56.7 -31.11 347 26.81
        1099     5.9       7343.8 405.56 -24.99 55.3 -31.41 348 26.82
        1100     6.2       7350.1 405.20 -25.01 53.1 -31.84 348 26.82
        1101     6.5       7356.7 404.83 -25.02 51.1 -32.27 348 26.82
        1102     6.5       7363.2 404.47 -25.03 50.0 -32.50 348 26.82
        1103     6.4       7369.6 404.11 -25.05 49.8 -32.55 348 26.81
        1104     6.1       7375.8 403.77 -25.07 50.0 -32.54 348 26.80
        1105     5.9       7381.6 403.44 -25.10 50.1 -32.55 348 26.79
        1106     6.0       7387.5 403.13 -25.15 50.1 -32.58 347 26.78
        1107     6.3       7393.7 402.79 -25.20 50.1 -32.63 347 26.76
        1108     6.7       7400.5 402.40 -25.23 49.8 -32.72 347 26.74
        1109     7.0       7407.6 402.00 -25.27 49.4 -32.85 347 26.71
        1110     7.0       7414.7 401.61 -25.31 49.2 -32.93 347 26.69
        1111     6.7       7421.4 401.24 -25.36 49.3 -32.95 347 26.66
        1112     6.4       7427.7 400.90 -25.39 49.4 -32.97 347 26.63
        1113     6.0       7433.7 400.56 -25.43 49.2 -33.03 347 26.60
        1114     5.8       7439.4 400.25 -25.47 49.1 -33.10 347 26.57
        1115     5.7       7445.0 399.94 -25.52 49.1 -33.15 346 26.54
        1116     5.8       7450.7 399.63 -25.55 48.9 -33.21 346 26.51
        1117     5.9       7456.7 399.30 -25.56 48.5 -33.31 346 26.48
        1118     6.1       7462.8 398.96 -25.58 47.6 -33.53 346 26.46
        1119     6.1       7469.0 398.62 -25.61 46.3 -33.84 346 26.43
        1120     6.0       7475.0 398.28 -25.63 44.8 -34.20 346 26.41
        1121     5.7       7480.8 397.97 -25.64 43.5 -34.49 345 26.39
        1122     5.5       7486.2 397.67 -25.65 42.8 -34.67 345 26.38
        1123     5.4       7491.6 397.38 -25.67 42.3 -34.81 345 26.37
        1124     5.5       7497.1 397.08 -25.69 41.8 -34.96 345 26.36
        1125     5.5       7502.6 396.77 -25.71 41.2 -35.11 345 26.35
        1126     5.6       7508.2 396.47 -25.74 40.9 -35.21 345 26.35
        1127     5.5       7513.8 396.16 -25.78 40.9 -35.25 345 26.36
        1128     5.4       7519.1 395.87 -25.83 41.0 -35.28 345 26.37
        1129     5.2       7524.3 395.59 -25.87 41.0 -35.32 345 26.38
        1130     5.2       7529.4 395.31 -25.89 40.7 -35.41 345 26.40
        1131     5.2       7534.6 395.02 -25.90 40.2 -35.53 345 26.43
        1132     5.2       7539.8 394.74 -25.94 40.0 -35.61 345 26.45
        1133     5.3       7545.1 394.45 -25.97 40.2 -35.61 345 26.49
        1134     5.4       7550.5 394.16 -26.01 40.4 -35.60 345 26.52
        1135     5.4       7556.0 393.86 -26.03 40.2 -35.65 345 26.56
        1136     5.5       7561.5 393.56 -26.06 39.9 -35.75 345 26.61
        1137     5.5       7566.9 393.27 -26.09 39.7 -35.85 345 26.65
        1138     5.5       7572.4 392.97 -26.14 39.7 -35.89 345 26.70
        1139     5.5       7578.0 392.66 -26.19 39.8 -35.91 345 26.76
        1140     5.6       7583.6 392.36 -26.25 39.9 -35.94 345 26.81
        1141     5.7       7589.3 392.06 -26.30 39.8 -36.01 345 26.87
        1142     5.9       7595.1 391.74 -26.34 39.5 -36.12 345 26.93
        1143     5.9       7601.1 391.41 -26.38 39.2 -36.23 345 26.99
        1144     5.7       7607.0 391.09 -26.42 39.1 -36.30 345 27.05
        1145     5.4       7612.4 390.80 -26.45 38.9 -36.37 345 27.11
        1146     5.0       7617.3 390.53 -26.49 38.9 -36.42 345 27.17
        1147     4.8       7622.0 390.29 -26.52 38.9 -36.45 345 27.23
        1148     4.8       7626.8 390.02 -26.57 39.1 -36.43 345 27.29
        1149     5.0       7631.7 389.75 -26.62 39.5 -36.38 345 27.35
        1150     5.1       7636.8 389.47 -26.67 39.9 -36.32 345 27.40
        1151     5.2       7642.0 389.19 -26.71 40.1 -36.30 345 27.45
        1152     5.3       7647.2 388.91 -26.76 40.0 -36.37 345 27.50
        1153     5.6       7652.7 388.62 -26.82 39.4 -36.58 345 27.55
        1154     6.1       7658.8 388.30 -26.86 37.7 -37.07 345 27.59
        1155     6.6       7665.5 387.93 -26.90 34.4 -38.02 345 27.63
        1156     7.0       7672.6 387.54 -26.91 29.4 -39.54 345 27.67
        1157     7.1       7679.8 387.16 -26.89 24.0 -41.49 345 27.70
        1158     7.0       7686.8 386.79 -26.87 19.6 -43.42 345 27.73
        1159     6.7       7693.5 386.43 -26.84 16.2 -45.17 346 27.75
        1160     6.5       7700.0 386.08 -26.81 13.3 -46.93 346 27.77
        1161     6.3       7706.2 385.75 -26.78 10.7 -48.87 346 27.79
        1162     6.1       7712.3 385.42 -26.76  8.7 -50.70 346 27.80
        1163     6.2       7718.4 385.09 -26.75  7.7 -51.74 346 27.81
        1164     6.4       7724.7 384.76 -26.73  7.9 -51.52 346 27.82
        1165     6.8       7731.5 384.41 -26.74  8.9 -50.42 346 27.82
        1166     7.1       7738.7 384.02 -26.78 10.1 -49.33 346 27.82
        1167     7.3       7746.2 383.62 -26.81 11.0 -48.62 347 27.81
        1168     6.9       7753.2 383.23 -26.83 11.6 -48.16 347 27.80
        1169     6.4       7759.5 382.90 -26.87 12.1 -47.86 347 27.79
        1170     5.9       7765.2 382.60 -26.90 12.4 -47.63 347 27.78
        1171     5.8       7770.9 382.32 -26.93 12.7 -47.43 347 27.77
        1172     6.3       7777.1 381.99 -26.96 12.9 -47.34 347 27.75
        1173     6.8       7784.0 381.61 -26.96 12.8 -47.42 347 27.73
        1174     7.1       7791.2 381.22 -26.96 12.5 -47.60 348 27.72
        1175     7.1       7798.4 380.85 -26.94 12.3 -47.75 348 27.70
        1176     6.9       7805.4 380.47 -26.94 12.2 -47.78 348 27.68
        1177     6.5       7811.9 380.12 -26.97 12.4 -47.66 348 27.66
        1178     6.0       7817.8 379.82 -27.00 12.9 -47.37 348 27.63
        1179     5.9       7823.5 379.53 -27.05 13.5 -47.00 348 27.61
        1180     6.2       7829.6 379.21 -27.11 14.2 -46.58 348 27.59
        1181     6.7       7836.4 378.85 -27.18 14.8 -46.28 348 27.57
        1182     7.1       7843.6 378.45 -27.25 15.0 -46.21 348 27.56
        1183     7.3       7851.0 378.07 -27.32 15.0 -46.25 349 27.55
        1184     7.4       7858.3 377.69 -27.39 15.1 -46.27 349 27.53
        1185     7.6       7865.8 377.31 -27.45 15.3 -46.19 349 27.53
        1186     7.9       7873.8 376.88 -27.51 15.6 -46.06 349 27.52
        1187     8.1       7881.9 376.46 -27.57 15.8 -45.97 349 27.52
        1188     8.0       7890.0 376.04 -27.64 16.0 -45.94 349 27.52
        1189     7.6       7897.7 375.63 -27.69 16.1 -45.91 349 27.52
        1190     6.9       7904.6 375.27 -27.74 16.1 -45.93 349 27.53
        1191     6.3       7910.7 374.95 -27.79 15.9 -46.10 349 27.54
        1192     5.9       7916.5 374.66 -27.84 15.6 -46.36 349 27.56
        1193     5.8       7922.2 374.35 -27.90 15.2 -46.63 349 27.57
        1194     6.1       7928.2 374.04 -27.95 14.8 -46.88 349 27.60
        1195     6.5       7934.7 373.71 -27.98 14.5 -47.13 349 27.62
        1196     6.9       7941.7 373.34 -28.01 14.0 -47.46 349 27.66
        1197     7.0       7948.8 372.96 -28.05 13.4 -47.88 349 27.69
        1198     6.7       7955.7 372.60 -28.10 12.9 -48.25 349 27.73
        1199     6.2       7961.9 372.28 -28.15 12.6 -48.53 350 27.77
        1200     5.8       7967.6 371.99 -28.20 12.4 -48.71 350 27.82
        1201     5.8       7973.2 371.70 -28.25 12.6 -48.61 350 27.86
        1202     6.1       7979.3 371.39 -28.31 13.6 -47.99 350 27.92
        1203     6.7       7986.0 371.03 -28.37 15.4 -46.89 350 27.97
        1204     7.1       7993.3 370.66 -28.42 17.5 -45.76 350 28.03
        1205     7.4       8000.8 370.28 -28.48 19.3 -44.93 350 28.09
        1206     7.2       8008.2 369.89 -28.55 20.5 -44.41 350 28.15
        1207     6.7       8015.0 369.53 -28.61 20.9 -44.32 350 28.21
        1208     6.0       8020.9 369.23 -28.66 20.3 -44.60 350 28.27
        1209     5.5       8026.2 368.96 -28.70 19.9 -44.86 350 28.33
        1210     5.4       8031.5 368.69 -28.76 20.1 -44.80 350 28.40
        1211     5.7       8037.1 368.40 -28.82 20.9 -44.46 350 28.46
        1212     6.2       8043.4 368.07 -28.91 21.9 -44.13 350 28.53
        1213     6.7       8050.2 367.72 -29.00 22.5 -43.97 350 28.60
        1214     6.9       8057.1 367.37 -29.08 22.9 -43.85 350 28.66
        1215     6.8       8064.0 367.01 -29.13 23.5 -43.64 350 28.73
        1216     6.5       8070.6 366.67 -29.16 24.1 -43.44 350 28.80
        1217     6.1       8076.7 366.36 -29.20 24.3 -43.39 350 28.86
        1218     5.8       8082.4 366.06 -29.26 24.4 -43.42 350 28.93
        1219     5.6       8087.9 365.78 -29.32 24.8 -43.32 350 28.99
        1220     5.8       8093.6 365.49 -29.36 25.9 -42.94 350 29.05
        1221     6.3       8099.8 365.19 -29.40 27.0 -42.60 350 29.11
        1222     7.0       8106.9 364.82 -29.43 27.2 -42.54 350 29.17
        1223     7.5       8114.6 364.42 -29.45 27.1 -42.60 350 29.22
        1224     7.5       8122.2 364.03 -29.50 27.2 -42.60 350 29.27
        1225     7.1       8129.4 363.67 -29.53 27.4 -42.56 350 29.32
        1226     6.6       8135.9 363.33 -29.57 27.4 -42.60 350 29.36
        1227     6.2       8142.0 363.03 -29.59 26.8 -42.82 350 29.39
        1228     6.1       8147.9 362.73 -29.62 26.0 -43.14 350 29.42
        1229     6.2       8154.1 362.41 -29.64 25.3 -43.43 350 29.44
        1230     6.5       8160.7 362.07 -29.67 25.0 -43.55 350 29.46
        1231     6.7       8167.4 361.72 -29.72 25.1 -43.57 350 29.47
        1232     6.9       8174.4 361.37 -29.77 25.0 -43.65 349 29.47
        1233     7.2       8181.5 361.02 -29.83 24.6 -43.83 349 29.46
        1234     7.4       8189.0 360.64 -29.88 24.0 -44.13 349 29.45
        1235     7.7       8196.7 360.25 -29.92 23.2 -44.49 349 29.43
        1236     7.8       8204.5 359.86 -29.96 22.5 -44.80 349 29.40
        1237     7.7       8212.2 359.46 -30.00 22.1 -45.00 349 29.37
        1238     7.3       8219.6 359.09 -30.06 21.9 -45.11 349 29.33
        1239     6.9       8226.5 358.76 -30.12 22.0 -45.15 349 29.29
        1240     6.4       8232.9 358.43 -30.18 22.0 -45.17 349 29.24
        1241     5.9       8238.7 358.13 -30.23 21.9 -45.27 349 29.20
        1242     5.4       8244.1 357.85 -30.28 21.7 -45.41 349 29.15
        1243     5.0       8249.0 357.61 -30.34 21.5 -45.53 349 29.10
        1244     5.0       8253.9 357.37 -30.39 21.5 -45.57 349 29.05
        1245     5.4       8259.1 357.10 -30.45 21.8 -45.50 349 29.01
        1246     5.9       8265.1 356.80 -30.51 22.3 -45.36 349 28.97
        1247     6.5       8271.6 356.48 -30.58 22.9 -45.18 349 28.94
        1248     6.8       8278.6 356.12 -30.64 23.4 -45.03 349 28.91
        1249     6.7       8285.4 355.78 -30.70 23.6 -44.98 348 28.89
        1250     6.2       8291.7 355.46 -30.76 23.6 -45.05 348 28.88
        1251     5.7       8297.3 355.18 -30.79 23.4 -45.17 348 28.88
        1252     5.4       8302.5 354.93 -30.81 23.3 -45.23 348 28.88
        1253     5.5       8307.9 354.66 -30.84 23.5 -45.17 348 28.89
        1254     6.0       8313.9 354.36 -30.89 23.9 -45.03 348 28.91
        1255     6.5       8320.5 354.03 -30.95 24.4 -44.91 348 28.94
        1256     6.8       8327.4 353.68 -31.01 24.5 -44.90 348 28.98
        1257     6.7       8334.2 353.33 -31.06 24.4 -44.99 348 29.02
        1258     6.5       8340.6 353.02 -31.11 24.2 -45.12 348 29.07
        1259     6.3       8346.8 352.72 -31.17 24.0 -45.25 348 29.12
        1260     6.4       8353.2 352.41 -31.24 24.1 -45.29 348 29.18
        1261     6.7       8360.0 352.07 -31.30 24.3 -45.25 348 29.24
        1262     6.9       8366.9 351.71 -31.37 24.5 -45.22 348 29.31
        1263     6.7       8373.7 351.37 -31.44 24.6 -45.26 348 29.37
        1264     6.4       8380.0 351.06 -31.49 24.5 -45.35 348 29.44
        1265     6.2       8386.1 350.76 -31.54 24.5 -45.39 348 29.51
        1266     6.2       8392.2 350.47 -31.60 24.7 -45.35 348 29.58
        1267     6.3       8398.5 350.15 -31.68 25.0 -45.30 348 29.64
        1268     6.5       8405.0 349.82 -31.74 25.2 -45.30 348 29.70
        1269     6.4       8411.5 349.50 -31.79 25.1 -45.37 348 29.76
        1270     6.3       8417.8 349.19 -31.83 24.8 -45.51 348 29.82
        1271     6.2       8424.0 348.89 -31.86 24.5 -45.68 348 29.87
        1272     6.1       8430.1 348.59 -31.91 24.0 -45.88 348 29.93
        1273     6.0       8436.1 348.29 -31.95 23.6 -46.10 348 29.97
        1274     5.8       8441.9 348.00 -31.97 23.0 -46.32 348 30.02
        1275     5.7       8447.6 347.72 -31.99 22.6 -46.51 348 30.06
        1276     5.6       8453.1 347.45 -32.03 22.5 -46.59 348 30.10
        1277     5.8       8458.9 347.17 -32.08 22.8 -46.53 348 30.13
        1278     6.0       8464.9 346.87 -32.13 23.2 -46.42 348 30.16
        1279     6.3       8471.2 346.56 -32.19 23.5 -46.32 347 30.20
        1280     6.5       8477.7 346.24 -32.26 23.8 -46.27 347 30.22
        1281     6.6       8484.3 345.92 -32.32 24.0 -46.27 347 30.25
        1282     6.6       8491.0 345.59 -32.37 23.9 -46.33 347 30.27
        1283     6.3       8497.3 345.27 -32.41 23.8 -46.42 347 30.29
        1284     6.1       8503.4 344.98 -32.46 23.7 -46.49 347 30.31
        1285     5.9       8509.2 344.70 -32.53 23.8 -46.53 347 30.32
        1286     6.0       8515.1 344.41 -32.59 23.9 -46.53 347 30.34
        1287     6.0       8521.2 344.11 -32.63 24.1 -46.49 347 30.35
        1288     6.0       8527.3 343.81 -32.68 24.3 -46.47 347 30.35
        1289     5.8       8533.1 343.53 -32.72 24.4 -46.47 347 30.36
        1290     5.4       8538.5 343.27 -32.77 24.4 -46.49 346 30.36
        1291     4.9       8543.4 343.02 -32.84 24.4 -46.57 346 30.36
        1292     4.6       8547.9 342.81 -32.90 24.3 -46.67 346 30.37
        1293     4.5       8552.2 342.60 -32.93 24.1 -46.75 346 30.37
        1294     4.9       8557.0 342.36 -32.98 24.1 -46.79 346 30.36
        1295     5.5       8562.5 342.09 -33.04 24.4 -46.74 346 30.36
        1296     6.3       8568.9 341.78 -33.10 24.9 -46.62 346 30.36
        1297     7.1       8576.1 341.44 -33.16 25.5 -46.44 346 30.36
        1298     7.5       8583.7 341.06 -33.22 26.1 -46.28 346 30.35
