Elapsed time AscRate GpsHeightMSL      P   Temp   RH   Dewp Dir Speed
           s     m/s            m    hPa     ?C    %     ?C   ?   m/s
          94     5.6       1012.1 910.53   7.94 70.0   2.83  61  1.28
          95     5.9       1018.1 909.84   7.89 69.6   2.69  56  1.30
          96     5.9       1024.1 909.16   7.94 68.6   2.54  51  1.32
          97     5.8       1029.9 908.54   7.94 67.9   2.40  45  1.36
          98     5.7       1035.5 907.93   7.97 67.7   2.39  40  1.42
          99     5.8       1041.3 907.31   8.00 67.8   2.42  36  1.49
         100     6.0       1047.3 906.64   8.10 68.0   2.56  31  1.56
         101     6.0       1053.4 905.96   8.24 68.0   2.69  27  1.66
         102     5.9       1059.4 905.30   8.28 67.6   2.66  23  1.76
         103     5.6       1065.0 904.69   8.43 67.1   2.69  19  1.87
         104     5.3       1070.3 904.11   8.53 66.8   2.72  16  1.99
         105     5.2       1075.4 903.56   8.52 67.0   2.75  13  2.12
         106     5.3       1080.7 902.98   8.48 67.4   2.80  10  2.26
         107     5.6       1086.3 902.37   8.47 67.6   2.84   7  2.41
         108     6.0       1092.3 901.71   8.46 67.7   2.85   5  2.56
         109     6.2       1098.6 901.00   8.44 67.8   2.86   3  2.72
         110     6.4       1105.0 900.31   8.41 68.1   2.88   1  2.89
         111     6.6       1111.6 899.63   8.37 68.2   2.87 359  3.06
         112     6.8       1118.5 898.85   8.31 68.5   2.86 357  3.24
         113     6.9       1125.5 898.07   8.25 68.8   2.87 355  3.42
         114     6.8       1132.3 897.38   8.19 69.4   2.93 354  3.60
         115     6.6       1138.9 896.67   8.15 70.2   3.05 353  3.79
         116     6.4       1145.4 895.93   8.11 71.0   3.18 351  3.98
         117     6.0       1151.4 895.24   8.11 71.9   3.37 350  4.16
         118     5.5       1156.8 894.70   8.10 72.5   3.47 349  4.34
         119     5.5       1162.1 894.17   8.07 72.7   3.48 349  4.52
         120     5.8       1167.9 893.51   8.03 73.0   3.51 348  4.69
         121     6.2       1174.3 892.80   7.98 73.6   3.55 347  4.86
         122     6.3       1180.7 892.11   7.93 74.0   3.59 347  5.01
         123     6.0       1186.7 891.47   7.87 74.4   3.60 346  5.16
         124     5.7       1192.4 890.84   7.81 74.8   3.64 346  5.29
         125     5.4       1197.7 890.27   7.78 75.4   3.72 346  5.41
         126     5.2       1202.8 889.75   7.75 76.2   3.83 346  5.51
         127     5.4       1208.2 889.18   7.74 76.9   3.95 346  5.60
         128     5.6       1213.9 888.53   7.71 77.4   4.01 346  5.67
         129     5.6       1219.6 887.91   7.68 78.0   4.09 346  5.72
         130     5.4       1225.0 887.32   7.67 78.8   4.23 346  5.76
         131     5.1       1230.1 886.78   7.68 79.7   4.40 346  5.77
         132     5.0       1235.0 886.26   7.74 81.0   4.68 347  5.77
         133     5.2       1240.0 885.73   7.76 81.9   4.87 347  5.75
         134     5.6       1245.6 885.14   7.74 82.4   4.94 348  5.71
         135     6.1       1251.7 884.47   7.77 83.0   5.07 348  5.65
         136     6.3       1258.2 883.75   7.83 82.9   5.11 348  5.58
         137     6.1       1264.3 883.11   7.93 82.2   5.09 349  5.49
         138     5.8       1270.2 882.50   8.08 80.7   4.97 350  5.39
         139     5.5       1275.6 881.92   8.16 79.1   4.77 350  5.27
         140     5.2       1280.8 881.36   8.19 78.2   4.63 351  5.14
         141     5.1       1285.9 880.81   8.21 77.8   4.58 351  5.01
         142     5.1       1290.9 880.28   8.19 77.7   4.54 352  4.87
         143     5.4       1296.2 879.72   8.16 77.7   4.51 352  4.72
         144     5.8       1302.0 879.11   8.13 77.6   4.47 353  4.57
         145     6.3       1308.4 878.43   8.10 77.6   4.43 354  4.42
         146     6.7       1315.2 877.69   8.07 77.5   4.39 354  4.27
         147     6.7       1322.0 876.96   8.04 77.4   4.32 355  4.12
         148     6.6       1328.5 876.28   8.01 76.9   4.22 355  3.97
         149     6.4       1334.9 875.62   8.00 76.2   4.08 356  3.83
         150     6.3       1341.1 874.96   8.04 75.2   3.93 356  3.69
         151     6.2       1347.4 874.29   8.07 74.3   3.78 357  3.57
         152     6.1       1353.5 873.63   8.09 73.4   3.64 357  3.45
