Station Position;Payerne_Start
Longitude (°);6.94368
Latitude (°);46.813018
Altitude (m);491.0

Software Version
Software; X-ASMS Brass V1.7.2
Config; SRS-C34-57, 14.08.2013

Barometric Parameter
Barometric Pressure (hPa);
Barometer Height (m);491.0

Surface Weather
Pressure (hPa);969.5
Temperature (°C);12.0
Humidity (%);66.3
Dewpoint (°C);5.91
Wind Velocity (m/s);1.1
Wind Direction (°);088
Clouds;
Ozone (nb);

Sounding;2017102412
Start Date;24.10.17
Start Time;11:06:06
Remark;

Sonde;SRS_C34
Serial Number;4677
Sonde Identifier;57
DTH;0.0

ECC Cells
Background Current Ib1 (uA);
Background Current Ib2 (uA);
Pump Performance (s/100ml);
Serial Number ECC;

IWV (mm);17.772

Pressure Level (hPa);1000.0
Altitude (m);232.22

Sounding Data
Rel. Time;Altitude (gpm);Wind Direction (°);Wind Velocity (m/s);Pressure (hPa);Temperature (°C);Humidity (%);Dewpoint (°C);Ozone (nbar);Ozone normalized (nbar);Pump Temperature (K);I ECC cells (uA);Level Flag;LAT (°);LON (°);Channel Temperature (°C)
0;491.02;088;1.1;969.5;12.0;66.3;5.91;;;;;1;46.812925;6.943557;14.27
1;496.12;31.52;0.7;968.99;11.63;64.33;5.12;;;;;0;46.81292;6.943548;13.78
2;500.32;36.4;0.67;968.5;11.51;67.82;5.8;;;;;0;46.812912;6.943538;13.3
3;505.42;41.3;0.63;967.91;11.5;71.3;6.48;;;;;0;46.81291;6.943525;12.81
4;510.92;42.24;0.62;967.28;11.5;72.47;6.63;;;;;0;46.812907;6.943513;12.4
5;517.42;38.68;0.63;966.52;11.31;73.64;6.77;;;;;0;46.812907;6.94351;12.27
6;523.52;32.43;0.66;965.82;11.28;73.14;6.65;;;;;0;46.812907;6.94351;12.14
7;529.82;25.93;0.71;965.09;11.24;72.65;6.53;;;;;0;46.812905;6.943515;12.09
8;535.12;21.08;0.78;964.48;11.24;72.16;6.41;;;;;0;46.812907;6.943512;12.03
9;540.82;18.64;0.88;963.82;11.24;71.57;6.27;;;;;0;46.812905;6.943503;12.0
10;546.32;18.32;1.0;963.19;11.21;70.97;6.14;;;;;0;46.812902;6.943495;11.94
11;552.72;19.33;1.13;962.45;11.11;70.54;5.96;;;;;4;46.812887;6.943497;11.88
12;558.12;20.98;1.27;961.83;11.01;70.29;5.84;;;;;0;46.812868;6.943495;11.8
13;564.62;23.0;1.4;961.08;10.98;70.03;5.72;;;;;0;46.81285;6.943498;11.72
14;570.42;25.43;1.5;960.41;10.94;69.93;5.73;;;;;0;46.812833;6.943502;11.68
15;575.82;28.38;1.58;959.79;11.05;69.83;5.75;;;;;0;46.812823;6.943498;11.64
16;581.21;31.94;1.64;959.17;10.98;69.86;5.69;;;;;0;46.812812;6.943485;11.59
17;586.91;36.03;1.68;958.51;10.92;70.03;5.65;;;;;0;46.812795;6.943465;11.55
18;592.61;40.45;1.71;957.86;10.83;70.21;5.62;;;;;0;46.812777;6.943443;11.5
19;598.21;44.98;1.73;957.22;10.75;70.47;5.58;;;;;0;46.812758;6.943422;11.37
20;603.21;49.39;1.75;956.64;10.64;70.72;5.54;;;;;0;46.812743;6.943405;11.3
21;608.01;53.54;1.77;956.09;10.61;70.91;5.55;;;;;0;46.812732;6.943392;11.24
22;611.91;57.33;1.79;955.65;10.58;71.03;5.53;;;;;0;46.812727;6.94337;11.21
23;617.31;60.65;1.81;955.03;10.52;71.15;5.51;;;;;0;46.812722;6.943353;11.18
24;622.91;63.38;1.84;954.39;10.46;71.26;5.45;;;;;0;46.81272;6.943326;11.07
25;628.51;65.36;1.88;953.74;10.34;71.37;5.38;;;;;0;46.81272;6.943298;11.01
26;634.11;66.54;1.93;953.1;10.33;71.51;5.4;;;;;0;46.812717;6.943272;10.96
27;638.31;66.88;1.99;952.62;10.31;71.64;5.39;;;;;0;46.812708;6.943247;10.94
28;641.71;66.5;2.06;952.23;10.26;71.78;5.39;;;;;0;46.812705;6.943227;10.92
29;645.91;65.55;2.13;951.75;10.21;71.89;5.37;;;;;0;46.8127;6.943208;10.86
30;650.61;64.25;2.21;951.22;10.18;72.0;5.35;;;;;0;46.812695;6.94319;10.81
31;655.71;62.78;2.28;950.63;10.14;72.1;5.34;;;;;0;46.812693;6.943168;10.75
32;660.21;61.36;2.36;950.12;9.99;72.23;5.29;;;;;0;46.81269;6.943138;10.71
33;664.01;60.1;2.42;949.69;9.99;72.36;5.24;;;;;0;46.812682;6.943102;10.68
34;667.91;59.12;2.48;949.24;9.99;72.54;5.25;;;;;0;46.81267;6.943062;10.65
35;672.51;58.48;2.51;948.72;9.92;72.72;5.25;;;;;0;46.812653;6.943027;10.63
36;677.91;58.21;2.53;948.1;9.86;72.94;5.22;;;;;0;46.812632;6.942995;10.53
37;683.91;58.34;2.53;947.42;9.76;73.16;5.18;;;;;0;46.812607;6.942968;10.47
38;689.91;58.89;2.51;946.73;9.73;73.36;5.19;;;;;0;46.812583;6.942948;10.42
39;695.61;59.86;2.47;946.08;9.69;73.52;5.19;;;;;0;46.812562;6.942923;10.39
40;700.9;61.24;2.42;945.48;9.66;73.67;5.19;;;;;0;46.812543;6.942893;10.36
41;705.8;63.0;2.36;944.92;9.64;73.72;5.18;;;;;0;46.81253;6.942862;10.32
42;710.1;65.12;2.29;944.43;9.63;73.78;5.18;;;;;0;46.81252;6.942827;10.32
43;713.7;67.53;2.21;944.02;9.62;73.79;5.17;;;;;0;46.812517;6.942797;10.31
44;717.8;70.17;2.14;943.56;9.55;73.81;5.14;;;;;0;46.812517;6.942772;10.27
45;722.9;72.97;2.07;942.98;9.55;73.83;5.11;;;;;0;46.812517;6.942752;10.23
46;728.9;75.86;2.01;942.3;9.56;73.97;5.11;;;;;0;46.812515;6.942733;10.19
47;735.3;78.78;1.95;941.57;9.49;74.11;5.11;;;;;0;46.812513;6.942708;10.16
48;742.2;81.69;1.9;940.79;9.43;74.37;5.13;;;;;0;46.81251;6.94268;10.1
49;749.1;84.56;1.87;940.01;9.44;74.63;5.15;;;;;0;46.812507;6.942647;10.07
50;755.4;87.37;1.84;939.29;9.45;74.93;5.22;;;;;0;46.812507;6.942615;10.04
51;761.3;90.11;1.82;938.63;9.38;75.24;5.2;;;;;0;46.81251;6.942588;10.02
52;766.8;92.75;1.82;938.01;9.27;75.55;5.17;;;;;0;46.812513;6.942567;9.99
53;772.3;95.28;1.83;937.38;9.16;75.94;5.18;;;;;0;46.812515;6.942552;9.92
54;777.7;97.67;1.85;936.77;9.13;76.34;5.19;;;;;0;46.812518;6.942537;9.84
55;782.9;99.91;1.88;936.19;9.11;76.82;5.25;;;;;0;46.812517;6.942523;9.75
56;788.89;101.97;1.91;935.51;8.94;77.3;5.23;;;;;0;46.812513;6.942512;9.68
57;795.29;103.84;1.96;934.79;8.89;77.79;5.22;;;;;0;46.812513;6.942493;9.6
58;801.09;105.51;2.01;934.13;8.84;78.11;5.24;;;;;0;46.812515;6.942467;9.56
59;806.39;106.97;2.05;933.54;8.8;78.44;5.25;;;;;0;46.812523;6.942438;9.52
60;811.99;108.23;2.1;932.9;8.77;78.58;5.23;;;;;0;46.812535;6.94241;9.48
61;817.59;109.27;2.14;932.27;8.7;78.73;5.21;;;;;0;46.812545;6.94238;9.43
62;822.99;110.11;2.18;931.67;8.63;78.79;5.15;;;;;0;46.812555;6.942348;9.37
63;828.89;110.73;2.21;931.0;8.67;78.84;5.17;;;;;0;46.812565;6.942318;9.34
64;835.49;111.14;2.23;930.26;8.65;78.88;5.18;;;;;2;46.812572;6.942285;9.31
65;842.19;111.31;2.24;929.51;8.62;78.85;5.1;;;;;6;46.81258;6.942247;9.25
66;848.09;111.25;2.24;928.85;8.5;78.82;5.03;;;;;0;46.812592;6.942207;9.17
67;853.39;110.94;2.24;928.25;8.37;78.62;4.87;;;;;0;46.812603;6.942172;9.09
68;858.98;110.4;2.23;927.62;8.46;78.18;4.87;;;;;0;46.812615;6.942143;9.13
69;864.78;109.63;2.21;926.97;8.55;77.73;4.88;;;;;0;46.812625;6.942122;9.17
70;870.58;108.65;2.19;926.32;8.63;77.16;4.81;;;;;0;46.812633;6.942107;9.18
71;882.42;106.28;2.15;925.0;8.62;76.25;4.69;;;;;10;46.812645;6.942071;9.19
72;882.78;106.21;2.15;924.96;8.62;76.23;4.68;;;;;0;46.812645;6.94207;9.19
73;889.08;104.84;2.13;924.26;8.65;75.87;4.63;;;;;0;46.812652;6.942043;9.17
74;894.98;103.46;2.1;923.6;8.62;75.76;4.58;;;;;0;46.812663;6.942015;9.15
75;900.38;102.12;2.07;923.0;8.59;75.84;4.55;;;;;0;46.812673;6.941987;9.15
76;905.58;100.86;2.04;922.42;8.54;75.93;4.53;;;;;0;46.81268;6.94196;9.14
77;911.18;99.72;2.0;921.79;8.49;76.18;4.52;;;;;0;46.81268;6.941935;9.13
78;917.67;98.73;1.96;921.07;8.42;76.43;4.51;;;;;0;46.812675;6.941912;9.07
79;923.67;97.91;1.9;920.4;8.34;76.7;4.49;;;;;0;46.812667;6.941882;9.01
80;929.77;97.29;1.84;919.72;8.24;76.9;4.49;;;;;0;46.812657;6.941847;8.95
81;935.97;96.68;1.78;919.03;8.26;77.1;4.48;;;;;0;46.81265;6.94181;8.89
82;942.57;96.21;1.7;918.3;8.28;77.1;4.46;;;;;0;46.812648;6.94177;8.86
83;948.47;95.77;1.62;917.64;8.22;77.09;4.44;;;;;0;46.81265;6.94173;8.83
84;953.77;95.25;1.54;917.05;8.17;76.76;4.38;;;;;0;46.81265;6.941697;8.85
85;959.17;94.57;1.45;916.46;8.21;76.44;4.31;;;;;0;46.812655;6.94167;8.81
86;965.27;93.57;1.37;915.78;8.24;75.89;4.24;;;;;0;46.812663;6.941658;8.77
87;971.77;92.1;1.29;915.06;8.28;75.18;4.1;;;;;0;46.81267;6.941653;8.75
88;978.36;89.98;1.21;914.33;8.22;74.48;3.95;;;;;4;46.812675;6.941652;8.74
89;985.06;87.05;1.14;913.59;8.17;73.68;3.75;;;;;0;46.812678;6.941648;8.68
90;991.96;83.17;1.08;912.83;8.13;72.87;3.55;;;;;0;46.81268;6.941643;8.68
91;997.76;78.3;1.04;912.19;8.09;72.08;3.4;;;;;0;46.812685;6.941635;8.68
92;1003.06;72.56;1.02;911.6;8.12;71.28;3.24;;;;;0;46.812688;6.941627;8.68
93;1007.96;66.21;1.02;911.06;8.07;70.56;3.04;;;;;0;46.812692;6.941618;8.68
94;1013.66;59.66;1.05;910.43;8.02;69.86;2.9;;;;;4;46.812697;6.941613;8.64
95;1019.66;53.32;1.11;909.77;8.08;69.15;2.76;;;;;0;46.812698;6.941608;8.61
96;1025.95;47.48;1.18;909.08;8.13;68.35;2.61;;;;;0;46.812697;6.941607;8.57
97;1031.55;42.29;1.28;908.46;8.11;67.54;2.46;;;;;0;46.81269;6.941602;8.56
98;1036.65;37.75;1.38;907.9;8.09;66.65;2.26;;;;;0;46.812678;6.94159;8.56
99;1042.25;33.8;1.5;907.28;8.21;65.82;2.19;;;;;0;46.812663;6.941575;8.63
100;1047.75;30.31;1.63;906.68;8.33;64.99;2.13;;;;;0;46.812648;6.941557;8.71
101;1053.85;27.22;1.76;906.01;8.45;64.47;2.13;;;;;4;46.812635;6.941537;8.79
102;1060.05;24.4;1.89;905.33;8.55;63.96;2.12;;;;;0;46.812623;6.94152;8.86
103;1065.75;21.77;2.03;904.71;8.65;63.73;2.16;;;;;0;46.812608;6.941503;8.93
104;1070.75;19.24;2.16;904.16;8.67;63.74;2.16;;;;;0;46.81259;6.941493;8.97
105;1076.04;16.76;2.29;903.58;8.64;63.75;2.16;;;;;2;46.812568;6.941488;9.0
106;1081.34;14.29;2.42;903.01;8.62;63.93;2.2;;;;;0;46.812543;6.94148;9.02
107;1086.84;11.82;2.55;902.41;8.63;64.1;2.23;;;;;0;46.812513;6.941465;9.03
108;1093.04;9.32;2.68;901.73;8.65;64.35;2.27;;;;;0;46.812485;6.941447;9.04
109;1098.94;6.8;2.82;901.09;8.61;64.6;2.31;;;;;0;46.812455;6.941423;9.03
110;1105.34;4.29;2.96;900.39;8.57;64.91;2.34;;;;;0;46.812428;6.941402;9.03
111;1111.94;1.8;3.1;899.67;8.49;65.27;2.36;;;;;0;46.812405;6.941385;8.99
112;1118.73;359.36;3.26;898.93;8.43;65.63;2.37;;;;;0;46.812382;6.941377;8.96
113;1125.73;357.03;3.42;898.17;8.38;66.1;2.44;;;;;0;46.812355;6.941375;8.86
114;1132.73;354.82;3.6;897.41;8.34;66.57;2.5;;;;;0;46.812327;6.941377;8.82
115;1139.73;352.78;3.78;896.65;8.3;67.04;2.57;;;;;0;46.812298;6.941387;8.78
116;1146.33;350.94;3.98;895.94;8.29;67.51;2.63;;;;;0;46.812267;6.9414;8.75
117;1152.83;349.31;4.19;895.23;8.27;68.06;2.72;;;;;0;46.812235;6.941415;8.71
118;1159.02;347.89;4.4;894.56;8.24;68.63;2.81;;;;;0;46.8122;6.941425;8.71
119;1164.22;346.7;4.62;894.0;8.21;69.19;2.9;;;;;0;46.812163;6.94144;8.71
120;1169.52;345.73;4.84;893.43;8.17;69.74;2.97;;;;;0;46.812127;6.941457;8.67
121;1175.22;344.96;5.06;892.81;8.12;70.3;3.03;;;;;0;46.81209;6.94148;8.62
122;1181.52;344.38;5.27;892.13;8.07;70.78;3.08;;;;;0;46.812053;6.941512;8.57
123;1187.62;343.98;5.47;891.47;8.02;71.17;3.11;;;;;0;46.812012;6.941543;8.54
124;1193.02;343.73;5.66;890.89;7.97;71.57;3.14;;;;;0;46.811967;6.941577;8.51
125;1198.51;343.62;5.83;890.29;7.92;71.94;3.18;;;;;4;46.811915;6.941608;8.47
126;1204.01;343.64;5.98;889.7;7.89;72.31;3.21;;;;;0;46.811857;6.941637;8.43
127;1209.71;343.77;6.11;889.09;7.86;72.73;3.25;;;;;0;46.811792;6.941667;8.39
128;1215.51;343.99;6.2;888.46;7.81;73.14;3.29;;;;;0;46.811722;6.941692;8.38
129;1221.01;344.32;6.27;887.87;7.76;73.52;3.32;;;;;0;46.811652;6.94172;8.37
130;1226.91;344.72;6.31;887.24;7.71;73.87;3.4;;;;;4;46.811577;6.941748;8.36
131;1231.31;345.21;6.31;886.76;7.79;74.21;3.49;;;;;0;46.811505;6.941783;8.36
132;1236.0;345.77;6.28;886.26;7.87;74.72;3.62;;;;;0;46.811435;6.941817;8.45
133;1241.4;346.41;6.23;885.68;7.87;75.23;3.75;;;;;0;46.811365;6.941847;8.41
134;1247.1;347.13;6.14;885.07;7.95;75.85;3.95;;;;;0;46.8113;6.941873;8.37
135;1253.7;347.92;6.04;884.36;8.03;76.31;4.11;;;;;0;46.811237;6.941895;8.39
136;1260.1;348.77;5.91;883.68;8.11;76.77;4.28;;;;;2;46.811177;6.941913;8.41
138;1271.19;350.67;5.59;882.49;8.29;76.71;4.43;;;;;0;46.811067;6.941948;8.6
139;1276.39;351.69;5.42;881.94;8.38;76.38;4.46;;;;;0;46.81102;6.941965;8.69
140;1281.49;352.75;5.23;881.39;8.38;75.99;4.37;;;;;0;46.810982;6.941977;8.72
141;1287.09;353.83;5.04;880.8;8.34;75.6;4.28;;;;;0;46.810947;6.941988;8.74
142;1292.19;354.9;4.85;880.25;8.29;75.35;4.2;;;;;0;46.810915;6.941988;8.76
143;1296.99;355.95;4.66;879.74;8.27;75.11;4.12;;;;;0;46.81088;6.94198;8.78
144;1302.19;356.96;4.46;879.19;8.25;75.05;4.08;;;;;0;46.810843;6.941968;8.75
145;1308.08;357.9;4.27;878.56;8.22;74.99;4.05;;;;;0;46.8108;6.941955;8.72
146;1314.48;358.76;4.08;877.88;8.2;74.98;4.02;;;;;0;46.810755;6.941942;8.69
147;1320.98;359.51;3.9;877.19;8.17;74.9;3.99;;;;;0;46.810707;6.94193;8.66
148;1327.38;0.14;3.72;876.51;8.16;74.82;3.95;;;;;0;46.81066;6.94192;8.63
149;1333.58;0.64;3.55;875.86;8.15;74.53;3.91;;;;;0;46.810617;6.941912;8.62
150;1339.57;1.01;3.39;875.22;8.18;74.25;3.86;;;;;0;46.81058;6.941902;8.63
151;1345.77;1.24;3.24;874.56;8.21;73.73;3.77;;;;;0;46.810548;6.941897;8.65
152;1352.67;1.33;3.1;873.83;8.19;73.21;3.68;;;;;0;46.810527;6.941895;8.66
153;1359.37;1.31;2.98;873.13;8.2;72.61;3.57;;;;;0;46.810512;6.941895;8.67
154;1365.27;1.19;2.87;872.5;8.21;72.14;3.48;;;;;0;46.810503;6.941893;8.68
155;1370.27;0.98;2.77;871.98;8.2;71.68;3.38;;;;;0;46.8105;6.941895;8.68
156;1375.26;0.73;2.7;871.45;8.18;71.52;3.34;;;;;0;46.810495;6.941905;8.71
157;1380.26;0.45;2.63;870.92;8.16;71.37;3.29;;;;;0;46.810487;6.941917;8.68
158;1385.56;0.19;2.59;870.36;8.14;71.32;3.26;;;;;0;46.810472;6.941927;8.65
159;1391.76;359.96;2.56;869.71;8.07;71.09;3.19;;;;;0;46.810452;6.941932;8.6
160;1398.46;359.79;2.54;869.01;8.09;70.87;3.12;;;;;0;46.81043;6.941932;8.55
161;1405.55;359.69;2.54;868.26;8.12;70.17;3.03;;;;;0;46.810405;6.941928;8.55
163;1418.95;359.78;2.57;866.85;8.24;68.41;2.8;;;;;0;46.810352;6.941913;8.62
164;1424.55;359.96;2.6;866.27;8.44;67.35;2.67;;;;;0;46.81032;6.941908;8.67
165;1429.25;0.24;2.63;865.77;8.46;66.29;2.54;;;;;0;46.810288;6.941908;8.73
166;1434.14;0.6;2.66;865.26;8.49;65.41;2.35;;;;;0;46.81026;6.941912;8.75
167;1439.44;1.04;2.7;864.71;8.47;64.54;2.17;;;;;0;46.810238;6.941918;8.77
168;1445.94;1.55;2.74;864.03;8.45;64.02;2.03;;;;;0;46.81022;6.941928;8.85
169;1451.94;2.11;2.78;863.4;8.41;63.49;1.88;;;;;0;46.810203;6.941932;8.83
170;1457.44;2.72;2.82;862.83;8.37;63.25;1.79;;;;;0;46.810188;6.941935;8.82
171;1463.13;3.35;2.85;862.23;8.34;63.27;1.75;;;;;0;46.810168;6.941933;8.79
172;1469.43;3.99;2.88;861.58;8.28;63.29;1.72;;;;;0;46.810145;6.941932;8.76
173;1476.03;4.63;2.9;860.89;8.22;63.55;1.73;;;;;2;46.810118;6.941932;8.7
174;1482.63;5.24;2.92;860.2;8.19;63.82;1.75;;;;;0;46.810088;6.941933;8.66
175;1488.83;5.83;2.92;859.56;8.16;64.16;1.78;;;;;0;46.810055;6.941937;8.62
176;1494.32;6.36;2.91;858.98;8.1;64.51;1.81;;;;;20;46.810018;6.941938;8.6
177;1499.32;6.84;2.89;858.46;8.09;64.83;1.87;;;;;0;46.80998;6.941932;8.57
178;1504.42;7.25;2.86;857.93;8.07;65.06;1.88;;;;;0;46.809942;6.941917;8.54
179;1510.12;7.59;2.81;857.34;8.01;65.28;1.89;;;;;0;46.809907;6.941893;8.51
180;1515.72;7.85;2.75;856.76;7.95;65.31;1.87;;;;;0;46.809877;6.941868;8.46
182;1525.31;8.14;2.59;855.76;7.93;65.22;1.81;;;;;0;46.809828;6.941828;8.39
183;1529.91;8.24;2.5;855.29;7.95;65.06;1.75;;;;;0;46.809807;6.941822;8.39
184;1535.61;8.28;2.39;854.7;7.88;64.9;1.69;;;;;0;46.80978;6.941827;8.39
185;1541.11;8.31;2.28;854.13;7.82;64.79;1.61;;;;;0;46.809755;6.941828;8.31
186;1546.9;8.38;2.16;853.53;7.77;64.68;1.53;;;;;0;46.809732;6.941832;8.3
187;1553.0;8.53;2.03;852.9;7.72;64.69;1.5;;;;;0;46.809705;6.941832;8.29
188;1558.9;8.82;1.9;852.29;7.68;64.69;1.46;;;;;0;46.809687;6.941832;8.26
189;1564.4;9.33;1.78;851.72;7.62;64.81;1.42;;;;;0;46.80967;6.941825;8.23
190;1569.7;10.14;1.65;851.17;7.56;65.05;1.44;;;;;0;46.80966;6.941818;8.19
191;1574.89;11.38;1.53;850.64;7.54;65.3;1.45;;;;;4;46.809655;6.941818;8.15
192;1581.05;13.61;1.39;850.0;7.49;65.81;1.47;;;;;10;46.809654;6.941823;8.04
193;1585.39;15.63;1.29;849.55;7.38;66.16;1.48;;;;;0;46.809652;6.941828;7.99
194;1591.59;18.94;1.19;848.91;7.37;66.63;1.57;;;;;0;46.809647;6.94184;7.93
195;1598.09;23.26;1.09;848.24;7.36;66.95;1.62;;;;;0;46.809637;6.941848;7.88
196;1604.28;28.73;1.0;847.61;7.34;67.26;1.67;;;;;0;46.809623;6.941857;7.83
197;1609.98;35.41;0.93;847.02;7.32;67.21;1.64;;;;;0;46.809607;6.94186;7.83
198;1615.38;43.22;0.88;846.46;7.3;67.17;1.62;;;;;4;46.809593;6.941853;7.8
199;1621.48;51.89;0.85;845.84;7.28;66.78;1.48;;;;;0;46.809582;6.941837;7.76
200;1627.97;60.94;0.85;845.17;7.17;66.4;1.33;;;;;0;46.809578;6.941815;7.73
201;1634.67;69.8;0.86;844.48;7.17;65.91;1.23;;;;;0;46.809578;6.941797;7.7
202;1641.47;78.0;0.9;843.79;7.18;65.49;1.13;;;;;0;46.80958;6.941782;7.67
203;1648.27;85.23;0.95;843.09;7.15;65.06;1.03;;;;;0;46.809582;6.941767;7.65
204;1654.96;91.39;1.01;842.4;7.13;64.66;0.92;;;;;0;46.80958;6.941753;7.59
205;1661.56;96.51;1.08;841.73;7.1;64.25;0.81;;;;;0;46.809578;6.94174;7.57
206;1667.56;100.69;1.15;841.12;7.08;63.63;0.66;;;;;0;46.809577;6.941723;7.55
207;1672.86;104.01;1.22;840.57;7.12;62.67;0.47;;;;;0;46.809575;6.941703;7.55
208;1677.85;106.58;1.29;840.06;7.13;61.71;0.28;;;;;0;46.809578;6.941678;7.55
209;1682.75;108.48;1.35;839.56;7.13;60.54;0.01;;;;;0;46.809585;6.941648;7.55
210;1688.05;109.79;1.41;839.02;7.11;59.38;-0.26;;;;;0;46.809598;6.941625;7.55
211;1693.65;110.58;1.47;838.45;7.1;58.53;-0.48;;;;;0;46.809615;6.941605;7.55
212;1699.14;110.9;1.52;837.89;7.06;57.68;-0.71;;;;;4;46.809635;6.941593;7.56
213;1704.44;110.82;1.56;837.35;7.05;57.23;-0.83;;;;;0;46.809652;6.94159;7.56
215;1716.14;109.73;1.64;836.16;6.99;57.01;-0.94;;;;;2;46.809677;6.941573;7.53
216;1722.84;108.87;1.68;835.48;6.93;57.16;-0.95;;;;;0;46.809687;6.941557;7.4
217;1729.83;107.91;1.71;834.77;6.89;57.3;-0.95;;;;;0;46.809697;6.941537;7.37
218;1736.73;106.92;1.75;834.07;6.85;57.45;-0.96;;;;;0;46.809702;6.94151;7.34
219;1742.53;105.98;1.78;833.48;6.81;57.55;-0.96;;;;;0;46.809707;6.941482;7.33
220;1747.42;105.16;1.82;832.98;6.81;57.65;-0.95;;;;;0;46.809705;6.941452;7.32
221;1752.52;104.49;1.85;832.47;6.81;57.7;-0.94;;;;;0;46.8097;6.941425;7.28
222;1757.82;104.02;1.88;831.93;6.81;57.76;-0.92;;;;;0;46.809692;6.941402;7.29
223;1763.62;103.73;1.92;831.34;6.81;57.9;-0.93;;;;;0;46.809678;6.941377;7.3
224;1769.71;103.64;1.95;830.73;6.73;58.03;-0.93;;;;;0;46.809668;6.941348;7.27
225;1775.41;103.71;1.98;830.15;6.69;58.24;-0.92;;;;;0;46.809662;6.941317;7.25
226;1780.51;103.91;2.01;829.64;6.65;58.51;-0.89;;;;;0;46.80966;6.941283;7.23
227;1785.71;104.18;2.03;829.11;6.62;58.79;-0.87;;;;;0;46.809663;6.941248;7.2
228;1791.21;104.48;2.06;828.56;6.58;59.16;-0.82;;;;;0;46.809673;6.941218;7.14
229;1797.2;104.74;2.08;827.95;6.54;59.53;-0.77;;;;;0;46.80969;6.941193;7.1
230;1803.4;104.92;2.11;827.33;6.5;59.94;-0.71;;;;;0;46.809707;6.941173;7.06
231;1809.5;104.95;2.13;826.71;6.43;60.31;-0.69;;;;;0;46.809723;6.941158;7.02
232;1815.29;104.81;2.14;826.13;6.36;60.67;-0.68;;;;;0;46.809732;6.941143;6.99
233;1820.69;104.45;2.16;825.58;6.29;60.92;-0.67;;;;;0;46.809738;6.941123;6.91
234;1825.69;103.87;2.17;825.08;6.26;61.16;-0.66;;;;;0;46.809742;6.941098;6.88
236;1836.68;101.99;2.18;823.98;6.23;61.58;-0.6;;;;;0;46.809762;6.941028;6.83
237;1842.48;100.72;2.19;823.39;6.2;61.83;-0.57;;;;;4;46.809777;6.940995;6.8
238;1848.18;99.25;2.18;822.82;6.17;62.15;-0.52;;;;;0;46.80979;6.940965;6.76
239;1853.18;97.6;2.18;822.32;6.15;62.48;-0.48;;;;;0;46.809798;6.940938;6.72
240;1857.67;95.82;2.18;821.87;6.13;62.85;-0.43;;;;;0;46.809802;6.940912;6.74
241;1862.37;93.93;2.17;821.4;6.07;63.23;-0.39;;;;;0;46.8098;6.940882;6.68
242;1867.57;91.98;2.17;820.88;6.01;63.61;-0.36;;;;;0;46.809795;6.940847;6.62
243;1873.37;90.01;2.16;820.3;5.9;63.93;-0.36;;;;;0;46.809787;6.940807;6.57
244;1879.66;88.03;2.16;819.67;5.86;64.25;-0.37;;;;;0;46.80978;6.940767;6.53
245;1885.26;86.1;2.16;819.11;5.81;64.48;-0.35;;;;;0;46.809777;6.940728;6.45
246;1890.46;84.23;2.16;818.59;5.8;64.72;-0.33;;;;;0;46.809777;6.940695;6.42
247;1896.26;82.45;2.16;818.01;5.78;64.93;-0.32;;;;;0;46.809773;6.940673;6.38
248;1901.95;80.77;2.17;817.44;5.71;65.14;-0.32;;;;;0;46.80977;6.940657;6.35
249;1907.75;79.2;2.17;816.86;5.68;65.35;-0.3;;;;;0;46.809763;6.940643;6.31
250;1912.95;77.74;2.18;816.34;5.65;65.55;-0.3;;;;;0;46.809753;6.940628;6.28
251;1917.85;76.39;2.19;815.85;5.61;65.75;-0.29;;;;;0;46.809742;6.940608;6.24
252;1923.34;75.12;2.21;815.3;5.56;65.93;-0.28;;;;;0;46.809735;6.940583;6.15
253;1929.04;73.93;2.22;814.74;5.54;66.11;-0.28;;;;;0;46.809735;6.940553;6.13
254;1935.04;72.79;2.23;814.14;5.53;66.33;-0.3;;;;;0;46.80974;6.940523;6.11
255;1940.84;71.67;2.24;813.56;5.39;66.56;-0.33;;;;;0;46.809742;6.940492;6.08
256;1946.43;70.55;2.25;813.01;5.35;66.82;-0.32;;;;;0;46.809742;6.940465;6.04
257;1952.23;69.37;2.26;812.43;5.31;67.14;-0.29;;;;;0;46.809735;6.940437;5.92
258;1958.23;68.11;2.26;811.83;5.27;67.45;-0.26;;;;;0;46.809722;6.940412;5.89
259;1964.12;66.72;2.26;811.25;5.23;67.82;-0.22;;;;;0;46.809707;6.94038;5.86
260;1969.42;65.17;2.25;810.72;5.2;68.19;-0.18;;;;;0;46.809687;6.940347;5.84
261;1974.22;63.42;2.23;810.25;5.18;68.58;-0.12;;;;;0;46.80967;6.940307;5.83
262;1979.22;61.42;2.22;809.75;5.17;68.96;-0.06;;;;;0;46.809657;6.940262;5.79
263;1984.71;59.16;2.2;809.21;5.14;69.35;-0.01;;;;;0;46.80965;6.940217;5.74
264;1990.91;56.61;2.18;808.59;5.11;69.71;0.02;;;;;0;46.809648;6.94018;5.7
265;1997.21;53.79;2.17;807.97;5.04;70.08;0.05;;;;;0;46.809648;6.940148;5.69
266;2003.3;50.7;2.16;807.37;4.98;70.45;0.05;;;;;0;46.80965;6.940123;5.68
267;2009.2;47.4;2.15;806.78;4.86;70.8;0.06;;;;;0;46.809647;6.940107;5.59
268;2015.2;43.96;2.16;806.19;4.84;71.16;0.06;;;;;0;46.80964;6.940093;5.51
